logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
28152,1970-01-02 09:00:02.294148,49.686,8,2.294147,49.685,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
29069,1970-01-02 09:00:02.354171,60.023,8,2.35417,60.023,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
29963,1970-01-02 09:00:02.403997,49.826,8,2.403997,49.827,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
31173,1970-01-02 09:00:02.473391,69.39399999999999,8,2.473391,69.394,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
32019,1970-01-02 09:00:02.522076,48.685,8,2.522075,48.684,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
32811,1970-01-02 09:00:02.572871,50.795,8,2.572871,50.796,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
33650,1970-01-02 09:00:02.622395,49.524,8,2.622394,49.523,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
34588,1970-01-02 09:00:02.680698,58.303,8,2.680697,58.303,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
35385,1970-01-02 09:00:02.730208,49.51,8,2.730207,49.51,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
36426,1970-01-02 09:00:02.789847,59.638999999999996,8,2.789846,59.639,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
37249,1970-01-02 09:00:02.840044,50.196999999999996,8,2.840043,50.197,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
38313,1970-01-02 09:00:02.898795,58.751,8,2.898795,58.752,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
39086,1970-01-02 09:00:02.948332,49.537,8,2.948331,49.536,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
40078,1970-01-02 09:00:03.008548,60.216,8,3.008547,60.216,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
40842,1970-01-02 09:00:03.057413,48.865,8,3.057413,48.866,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
41872,1970-01-02 09:00:03.116958,59.545,8,3.116957,59.544,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
42683,1970-01-02 09:00:03.167710,50.751999999999995,8,3.167709,50.752,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
43712,1970-01-02 09:00:03.227431,59.721000000000004,8,3.22743,59.721,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
44542,1970-01-02 09:00:03.276619,49.188,8,3.276618,49.188,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
45508,1970-01-02 09:00:03.336542,59.922999999999995,8,3.336541,59.923,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
46348,1970-01-02 09:00:03.386539,49.997,8,3.386538,49.997,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
47370,1970-01-02 09:00:03.447018,60.479,8,3.447018,60.48,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
48255,1970-01-02 09:00:03.496233,49.215,8,3.496232,49.214,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
49160,1970-01-02 09:00:03.556857,60.623999999999995,8,3.556857,60.625,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
50029,1970-01-02 09:00:03.606017,49.160000000000004,8,3.606016,49.159,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
51194,1970-01-02 09:00:03.675937,69.92,8,3.675937,69.921,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
52038,1970-01-02 09:00:03.728467,52.53,8,3.728467,52.53,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
53049,1970-01-02 09:00:03.786748,58.281,8,3.786748,58.281,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
53844,1970-01-02 09:00:03.835588,48.84,8,3.835587,48.839,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
54856,1970-01-02 09:00:03.895526,59.937999999999995,8,3.895525,59.938,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
55644,1970-01-02 09:00:03.946067,50.541000000000004,8,3.946066,50.541,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
56659,1970-01-02 09:00:04.006000,59.933,8,4.006,59.934,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
57397,1970-01-02 09:00:04.055248,49.248,8,4.055247,49.247,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
58301,1970-01-02 09:00:04.106060,50.812000000000005,8,4.106059,50.812,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
59056,1970-01-02 09:00:04.155089,49.029,8,4.155089,49.03,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
60266,1970-01-02 09:00:04.225733,70.644,8,4.225733,70.644,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
61114,1970-01-02 09:00:04.275029,49.296,8,4.275028,49.295,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
62123,1970-01-02 09:00:04.335840,60.811,8,4.335839,60.811,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
62920,1970-01-02 09:00:04.385110,49.27,8,4.385109,49.27,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
63957,1970-01-02 09:00:04.445747,60.637,8,4.445746,60.637,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
64838,1970-01-02 09:00:04.495963,50.215999999999994,8,4.495963,50.217,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
65754,1970-01-02 09:00:04.555916,59.952999999999996,8,4.555916,59.953,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
66581,1970-01-02 09:00:04.604929,49.013,8,4.604928,49.012,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
67615,1970-01-02 09:00:04.670019,65.08999999999999,8,4.670019,65.091,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
68390,1970-01-02 09:00:04.714892,44.873000000000005,8,4.714892,44.873,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
69457,1970-01-02 09:00:04.776848,61.955999999999996,8,4.776847,61.955,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
70242,1970-01-02 09:00:04.825552,48.704,8,4.825552,48.705,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
71182,1970-01-02 09:00:04.884944,59.392,8,4.884943,59.391,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
72005,1970-01-02 09:00:04.934828,49.884,8,4.934828,49.885,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
73039,1970-01-02 09:00:04.994861,60.033,8,4.994861,60.033,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
73803,1970-01-02 09:00:05.045532,50.671,8,5.045532,50.671,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
74816,1970-01-02 09:00:05.105463,59.931,8,5.105463,59.931,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
75603,1970-01-02 09:00:05.155750,50.287,8,5.15575,50.287,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
76670,1970-01-02 09:00:05.215967,60.217,8,5.215966,60.216,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
77418,1970-01-02 09:00:05.265631,49.664,8,5.26563,49.664,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
78483,1970-01-02 09:00:05.325416,59.785,8,5.325416,59.786,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
79291,1970-01-02 09:00:05.374722,49.306000000000004,8,5.374722,49.306,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
