logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
1196,2025-01-31 03:45:41.986952,0.0,8,2519.971681,0.0,1,0xcaf0036a,0,0,8,4222,4222,3,2,1,0,0x4b21cbfd,36.050610899999995
3113,2025-01-31 03:45:42.047360,60.408,8,2520.03209,60.409,1,0xcaf0036a,0,0,8,4550,4550,0,1,1,0,0xbe85f1b8,139.64492079999997
4799,2025-01-31 03:45:42.096953,49.592999999999996,8,2520.081682,49.592,1,0xcaf0036a,0,0,8,4550,4550,1,2,1,0,0x4b21c763,36.0504931
6435,2025-01-31 03:45:42.147663,50.71,8,2520.132393,50.711,1,0xcaf0036a,0,0,8,4672,4672,2,1,1,0,0xbe86261b,139.6462619
8107,2025-01-31 03:45:42.197197,49.534,8,2520.181927,49.534,1,0xcaf0036a,0,0,8,4672,4672,3,2,1,0,0x4b21c043,36.0503107
10479,2025-01-31 03:45:42.266981,69.78399999999999,8,2520.251711,69.784,1,0xcaf0036a,0,0,8,4818,4818,0,1,1,0,0xbe866458,139.64785519999998
12138,2025-01-31 03:45:42.316997,50.016,8,2520.301726,50.015,1,0xcaf0036a,0,0,8,4818,4818,1,2,1,0,0x4b21b70b,36.050074699999996
13866,2025-01-31 03:45:42.368775,51.778,8,2520.353504,51.778,1,0xcaf0036a,0,0,8,5038,5038,2,1,1,0,0xbe86c26e,139.6502638
15537,2025-01-31 03:45:42.417198,48.423,8,2520.401928,48.424,1,0xcaf0036a,0,0,8,5038,5038,3,2,1,0,0x4b21aa0d,36.04974209999999
17710,2025-01-31 03:45:42.481947,64.749,8,2520.466677,64.749,1,0xcaf0036a,0,0,8,6038,6038,0,1,1,0,0xbe886e97,139.6612247
19187,2025-01-31 03:45:42.526905,44.958,8,2520.511634,44.957,1,0xcaf0036a,0,0,8,6038,6038,1,2,1,0,0x4b2184c1,36.0487873
21184,2025-01-31 03:45:42.586993,60.088,8,2520.571723,60.089,1,0xcaf0036a,0,0,8,6689,6689,2,1,1,0,0xbe896bab,139.66770349999996
22747,2025-01-31 03:45:42.636928,49.935,8,2520.621657,49.934,1,0xcaf0036a,0,0,8,6689,6689,3,2,1,0,0x4b212102,36.046233799999996
25445,2025-01-31 03:45:42.717162,80.234,8,2520.701891,80.234,1,0xcaf0036a,0,0,8,6913,6913,0,1,1,0,0xbe89c089,139.6698761
27153,2025-01-31 03:45:42.767870,50.708000000000006,8,2520.7526,50.709,1,0xcaf0036a,0,0,8,6913,6913,1,2,1,0,0x4b20fa3e,36.045241399999995
28781,2025-01-31 03:45:42.817111,49.241,8,2520.80184,49.24,1,0xcaf0036a,0,0,8,7095,7095,2,1,1,0,0xbe8a0a16,139.671759
30440,2025-01-31 03:45:42.867261,50.15,8,2520.851991,50.151,1,0xcaf0036a,0,0,8,7095,7095,3,2,1,0,0x4b20e3d2,36.044667399999994
32099,2025-01-31 03:45:42.917419,50.158,8,2520.902149,50.158,1,0xcaf0036a,0,0,8,403,403,0,1,1,0,0xbe7f348d,139.6007565
33806,2025-01-31 03:45:42.967546,50.126999999999995,8,2520.952276,50.127,1,0xcaf0036a,0,0,8,403,403,1,2,1,0,0x4b20acef,36.043262299999995
36125,2025-01-31 03:45:43.037467,69.92099999999999,8,2521.022197,69.921,1,0xcaf0036a,0,0,8,1403,1403,2,1,1,0,0xbe80df3f,139.6116799
37804,2025-01-31 03:45:43.087007,49.54,8,2521.071736,49.539,1,0xcaf0036a,0,0,8,1403,1403,3,2,1,0,0x4b20e9c9,36.044820099999995
39779,2025-01-31 03:45:43.148451,61.443999999999996,8,2521.13318,61.444,1,0xcaf0036a,0,0,8,2034,2034,0,1,1,0,0xbe81ec6c,139.6185708
41434,2025-01-31 03:45:43.197612,49.161,8,2521.182342,49.162,1,0xcaf0036a,0,0,8,2034,2034,1,2,1,0,0x4b210efc,36.04577239999999
43111,2025-01-31 03:45:43.247676,50.064,8,2521.232405,50.063,1,0xcaf0036a,0,0,8,2331,2331,2,1,1,0,0xbe82691a,139.6217626
44805,2025-01-31 03:45:43.298058,50.382000000000005,8,2521.282787,50.382,1,0xcaf0036a,0,0,8,2331,2331,3,2,1,0,0x4b21288d,36.0464269
46787,2025-01-31 03:45:43.358510,60.452,8,2521.343239,60.452,1,0xcaf0036a,0,0,8,2387,2387,0,1,1,0,0xbe827fbc,139.622342
48532,2025-01-31 03:45:43.408826,50.316,8,2521.393556,50.317,1,0xcaf0036a,0,0,8,2387,2387,1,2,1,0,0x4b212fe2,36.0466146
50466,2025-01-31 03:45:43.467510,58.684,8,2521.452239,58.683,1,0xcaf0036a,0,0,8,2445,2445,2,1,1,0,0xbe8296c9,139.62293209999996
52099,2025-01-31 03:45:43.517167,49.657,8,2521.501897,49.658,1,0xcaf0036a,0,0,8,2445,2445,3,2,1,0,0x4b2137d9,36.0468185
54132,2025-01-31 03:45:43.577995,60.828,8,2521.562725,60.828,1,0xcaf0036a,0,0,8,2704,2704,0,1,1,0,0xbe82fb94,139.6255124
55783,2025-01-31 03:45:43.627458,49.463,8,2521.612187,49.462,1,0xcaf0036a,0,0,8,2704,2704,1,2,1,0,0x4b216015,36.0478485
57767,2025-01-31 03:45:43.687488,60.03,8,2521.672218,60.031,1,0xcaf0036a,0,0,8,3064,3064,2,1,1,0,0xbe838682,139.62906899999996
59467,2025-01-31 03:45:43.737885,50.397,8,2521.722615,50.397,1,0xcaf0036a,0,0,8,3064,3064,3,2,1,0,0x4b2199ea,36.049329
61479,2025-01-31 03:45:43.798409,60.524,8,2521.783138,60.523,1,0xcaf0036a,0,0,8,3222,3222,0,1,1,0,0xbe83c3e7,139.63064069999996
63070,2025-01-31 03:45:43.847509,49.099999999999994,8,2521.832239,49.101,1,0xcaf0036a,0,0,8,3222,3222,1,2,1,0,0x4b21b310,36.04997279999999
65174,2025-01-31 03:45:43.909066,61.557,8,2521.893796,61.557,1,0xcaf0036a,0,0,8,4222,4222,2,1,1,0,0xbe85672d,139.6413741
66688,2025-01-31 03:45:43.957088,48.022000000000006,8,2521.941817,48.021,1,0xcaf0036a,0,0,8,4222,4222,3,2,1,0,0x4b21cbfd,36.050610899999995
68773,2025-01-31 03:45:44.017035,59.947,8,2522.001765,59.948,1,0xcaf0036a,0,0,8,4550,4550,0,1,1,0,0xbe85f1b8,139.64492079999997
70444,2025-01-31 03:45:44.067575,50.54,8,2522.052305,50.54,1,0xcaf0036a,0,0,8,4550,4550,1,2,1,0,0x4b21c763,36.0504931
72464,2025-01-31 03:45:44.127557,59.982,8,2522.112286,59.981,1,0xcaf0036a,0,0,8,4672,4672,2,1,1,0,0xbe86261b,139.6462619
74047,2025-01-31 03:45:44.177098,49.541000000000004,8,2522.161827,49.541,1,0xcaf0036a,0,0,8,4672,4672,3,2,1,0,0x4b21c043,36.0503107
75909,2025-01-31 03:45:44.229048,51.95,8,2522.213778,51.951,1,0xcaf0036a,0,0,8,4818,4818,0,1,1,0,0xbe866458,139.64785519999998
77444,2025-01-31 03:45:44.277269,48.221,8,2522.261999,48.221,1,0xcaf0036a,0,0,8,4818,4818,1,2,1,0,0x4b21b70b,36.050074699999996
79770,2025-01-31 03:45:44.347639,70.37,8,2522.332368,70.369,1,0xcaf0036a,0,0,8,5038,5038,2,1,1,0,0xbe86c26e,139.6502638
81478,2025-01-31 03:45:44.397079,49.44,8,2522.381809,49.441,1,0xcaf0036a,0,0,8,5038,5038,3,2,1,0,0x4b21aa0d,36.04974209999999
83156,2025-01-31 03:45:44.448577,51.498000000000005,8,2522.433306,51.497,1,0xcaf0036a,0,0,8,6038,6038,0,1,1,0,0xbe886e97,139.6612247
84870,2025-01-31 03:45:44.499064,50.486999999999995,8,2522.483793,50.487,1,0xcaf0036a,0,0,8,6038,6038,1,2,1,0,0x4b2184c1,36.0487873
86721,2025-01-31 03:45:44.557263,58.199,8,2522.541993,58.2,1,0xcaf0036a,0,0,8,6689,6689,2,1,1,0,0xbe896bab,139.66770349999996
88499,2025-01-31 03:45:44.608807,51.544,8,2522.593537,51.544,1,0xcaf0036a,0,0,8,6689,6689,3,2,1,0,0x4b212102,36.046233799999996
90409,2025-01-31 03:45:44.667537,58.73,8,2522.652267,58.73,1,0xcaf0036a,0,0,8,6913,6913,0,1,1,0,0xbe89c089,139.6698761
92087,2025-01-31 03:45:44.717179,49.641999999999996,8,2522.701909,49.642,1,0xcaf0036a,0,0,8,6913,6913,1,2,1,0,0x4b20fa3e,36.045241399999995
93833,2025-01-31 03:45:44.768791,51.611999999999995,8,2522.75352,51.611,1,0xcaf0036a,0,0,8,7095,7095,2,1,1,0,0xbe8a0a16,139.671759
95395,2025-01-31 03:45:44.817084,48.293,8,2522.801813,48.293,1,0xcaf0036a,0,0,8,7095,7095,3,2,1,0,0x4b20e3d2,36.044667399999994
