logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Last Stub at Offset,Rerouting Flag,Sub-path Index,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Turn angle,Number of Lanes in driving direction
1307,2025-01-31 03:45:41.989171,0.0,8,2519.973901,0.0,7,0xcaf00370,0,0,8,4550,4550,1,1,0,6,1,0,30,1,2,1,1,0,2
1308,2025-01-31 03:45:41.989188,0.017,8,2519.973918,0.017,1,0xcaf00370,0,0,8,4550,4550,1,1,0,6,1,0,30,1,2,1,1,0,2
3200,2025-01-31 03:45:42.048966,59.778,8,2520.033696,59.778,7,0xcaf00370,0,0,8,4672,4672,2,1,0,6,1,0,30,1,2,1,1,1,2
3203,2025-01-31 03:45:42.048985,0.019,8,2520.033714,0.018,1,0xcaf00370,0,0,8,4672,4672,2,1,0,6,1,0,30,1,2,1,1,1,2
4850,2025-01-31 03:45:42.098099,49.114,8,2520.082829,49.115,7,0xcaf00370,0,0,8,4818,4818,3,1,0,6,1,0,30,1,2,1,1,0,2
4851,2025-01-31 03:45:42.098120,0.020999999999999998,8,2520.08285,0.021,1,0xcaf00370,0,0,8,4818,4818,3,1,0,6,1,0,30,1,2,1,1,0,2
6518,2025-01-31 03:45:42.149180,51.06,8,2520.13391,51.06,7,0xcaf00370,0,0,8,5038,5038,0,0,0,6,1,0,28,1,2,1,1,0,2
6519,2025-01-31 03:45:42.149206,0.026,8,2520.133935,0.025,1,0xcaf00370,0,0,8,5038,5038,0,0,0,6,1,0,28,1,2,1,1,0,2
8158,2025-01-31 03:45:42.198310,49.104,8,2520.183039,49.104,7,0xcaf00370,0,0,8,5038,5038,1,1,0,31,1,0,2,1,0,1,6,248,1
8160,2025-01-31 03:45:42.198333,0.023,8,2520.183063,0.024,1,0xcaf00370,0,0,8,5038,5038,1,1,0,31,1,0,2,1,0,1,6,248,1
10589,2025-01-31 03:45:42.269069,70.73599999999999,8,2520.253799,70.736,7,0xcaf00370,0,0,8,6689,6689,2,0,0,6,1,0,30,1,2,1,1,0,2
10590,2025-01-31 03:45:42.269109,0.04,8,2520.253839,0.04,1,0xcaf00370,0,0,8,6689,6689,2,0,0,6,1,0,30,1,2,1,1,0,2
12200,2025-01-31 03:45:42.318275,49.166000000000004,8,2520.303005,49.166,7,0xcaf00370,0,0,8,6689,6689,3,1,0,32,1,0,0,1,0,0,6,132,0
12204,2025-01-31 03:45:42.318322,0.047,8,2520.303052,0.047,1,0xcaf00370,0,0,8,6689,6689,3,1,0,32,1,0,0,1,0,0,6,132,0
13879,2025-01-31 03:45:42.369307,50.985,8,2520.354037,50.985,7,0xcaf00370,0,0,8,6913,6913,0,1,0,6,1,0,30,1,2,1,1,250,2
13880,2025-01-31 03:45:42.369359,0.052,8,2520.354088,0.051,1,0xcaf00370,0,0,8,6913,6913,0,1,0,6,1,0,30,1,2,1,1,250,2
15589,2025-01-31 03:45:42.418208,48.849,8,2520.402938,48.85,7,0xcaf00370,0,0,8,7095,7095,1,1,0,6,1,0,30,1,2,1,1,253,2
15593,2025-01-31 03:45:42.418267,0.059,8,2520.402996,0.058,1,0xcaf00370,0,0,8,7095,7095,1,1,0,6,1,0,30,1,2,1,1,253,2
17739,2025-01-31 03:45:42.482823,64.556,8,2520.467552,64.556,1,0xcaf00370,0,0,8,2034,2034,2,0,0,6,1,0,25,1,2,1,1,1,2
17743,2025-01-31 03:45:42.482887,0.064,8,2520.467617,0.065,7,0xcaf00370,0,0,8,2034,2034,2,0,0,6,1,0,25,1,2,1,1,1,2
19321,2025-01-31 03:45:42.529135,46.248,8,2520.513865,46.248,7,0xcaf00370,0,0,8,2034,2034,3,1,0,29,1,0,5,2,0,1,9,250,1
19324,2025-01-31 03:45:42.529237,0.102,8,2520.513966,0.101,1,0xcaf00370,0,0,8,2034,2034,3,1,0,29,1,0,5,2,0,1,9,250,1
21210,2025-01-31 03:45:42.587461,58.224,8,2520.572191,58.225,1,0xcaf00370,0,0,8,2331,2331,0,1,0,6,1,0,30,1,2,1,1,251,2
21292,2025-01-31 03:45:42.588799,1.338,8,2520.573528,1.337,7,0xcaf00370,0,0,8,2331,2331,0,1,0,6,1,0,30,1,2,1,1,251,2
22806,2025-01-31 03:45:42.638099,49.3,8,2520.622829,49.301,1,0xcaf00370,0,0,8,2387,2387,1,1,0,6,1,0,30,1,2,1,1,253,2
