logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Position Index,Position Probablility,Position Age,Position Confidence,Speed,Relative Heading
17757,2025-01-31 03:45:42.483361,0.0,8,2520.468091,0.0,7,0xcaf0054c,0,0,8,590,590,0,0,30,175,0,92,253
17760,2025-01-31 03:45:42.483429,0.068,8,2520.468159,0.068,1,0xcaf0054c,0,0,8,590,590,0,0,30,175,0,92,253
36185,2025-01-31 03:45:43.038476,555.0469999999999,8,2521.023206,555.047,1,0xcaf0054c,0,0,8,595,595,1,0,30,106,0,93,253
36186,2025-01-31 03:45:43.038491,0.015000000000000001,8,2521.02322,0.014,7,0xcaf0054c,0,0,8,595,595,1,0,30,106,0,93,253
54209,2025-01-31 03:45:43.579513,541.022,8,2521.564242,541.022,7,0xcaf0054c,0,0,8,601,601,2,0,30,34,0,95,253
54212,2025-01-31 03:45:43.579633,0.12000000000000001,8,2521.564363,0.121,1,0xcaf0054c,0,0,8,601,601,2,0,30,34,0,95,253
72562,2025-01-31 03:45:44.129198,549.5649999999999,8,2522.113927,549.564,1,0xcaf0054c,0,0,8,601,601,3,0,30,143,0,95,253
72566,2025-01-31 03:45:44.129276,0.078,8,2522.114005,0.078,7,0xcaf0054c,0,0,8,601,601,3,0,30,143,0,95,253
90498,2025-01-31 03:45:44.669367,540.091,8,2522.654096,540.091,7,0xcaf0054c,0,0,8,607,607,0,0,30,72,0,96,253
90500,2025-01-31 03:45:44.669411,0.044,8,2522.654141,0.045,1,0xcaf0054c,0,0,8,607,607,0,0,30,72,0,96,253
108092,2025-01-31 03:45:45.198734,529.323,8,2523.183464,529.323,1,0xcaf0054c,0,0,8,607,607,1,0,30,180,0,96,253
108094,2025-01-31 03:45:45.198758,0.024,8,2523.183488,0.024,7,0xcaf0054c,0,0,8,607,607,1,0,30,180,0,96,253
127735,2025-01-31 03:45:45.781376,582.6179999999999,8,2523.766105,582.617,1,0xcaf0054c,0,0,8,612,612,2,0,30,113,0,96,0
127756,2025-01-31 03:45:45.781931,0.555,8,2523.766661,0.556,7,0xcaf0054c,0,0,8,612,612,2,0,30,113,0,96,0
145660,2025-01-31 03:45:46.319386,537.455,8,2524.304116,537.455,1,0xcaf0054c,0,0,8,618,618,3,0,30,43,0,97,0
145661,2025-01-31 03:45:46.319511,0.125,8,2524.30424,0.124,7,0xcaf0054c,0,0,8,618,618,3,0,30,43,0,97,0
163480,2025-01-31 03:45:46.858999,539.4879999999999,8,2524.843728,539.488,1,0xcaf0054c,0,0,8,618,618,0,0,30,150,0,97,0
163482,2025-01-31 03:45:46.859062,0.063,8,2524.843791,0.063,7,0xcaf0054c,0,0,8,618,618,0,0,30,150,0,97,0
181114,2025-01-31 03:45:47.389649,530.587,8,2525.374379,530.588,1,0xcaf0054c,0,0,8,625,625,1,0,30,77,0,99,0
181116,2025-01-31 03:45:47.389730,0.081,8,2525.37446,0.081,7,0xcaf0054c,0,0,8,625,625,1,0,30,77,0,99,0
