logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
1454,2025-01-31 03:35:41.971993,0.0,8,1919.959541,0.0,1,0xcaf0036a,0,0,8,4818,4818,0,1,1,0,0xbe866458,139.64785519999998
3160,2025-01-31 03:35:42.021919,49.925999999999995,8,1920.009466,49.925,1,0xcaf0036a,0,0,8,4818,4818,1,2,1,0,0x4b21b70b,36.050074699999996
5427,2025-01-31 03:35:42.092391,70.47200000000001,8,1920.079938,70.472,1,0xcaf0036a,0,0,8,5816,5816,2,1,1,0,0xbe7b9146,139.5769158
7016,2025-01-31 03:35:42.141915,49.524,8,1920.129462,49.524,1,0xcaf0036a,0,0,8,5816,5816,3,2,1,0,0x4b1e5e7c,36.02814679999999
8766,2025-01-31 03:35:42.192461,50.546,8,1920.180008,50.546,1,0xcaf0036a,0,0,8,6068,6068,0,1,1,0,0xbe7bde30,139.57888479999997
10463,2025-01-31 03:35:42.241934,49.473000000000006,8,1920.229481,49.473,1,0xcaf0036a,0,0,8,6068,6068,1,2,1,0,0x4b1e9cdc,36.02974359999999
12424,2025-01-31 03:35:42.301979,60.045,8,1920.289526,60.045,1,0xcaf0036a,0,0,8,6810,6810,2,1,1,0,0xbe7cb1d5,139.5843029
14031,2025-01-31 03:35:42.351952,49.973,8,1920.339499,49.973,1,0xcaf0036a,0,0,8,6810,6810,3,2,1,0,0x4b1f6134,36.034769999999995
16095,2025-01-31 03:35:42.412009,60.057,8,1920.399556,60.057,1,0xcaf0036a,0,0,8,7594,7594,0,1,1,0,0xbe7da9f0,139.5906544
17663,2025-01-31 03:35:42.461978,49.969,8,1920.449525,49.969,1,0xcaf0036a,0,0,8,7594,7594,1,2,1,0,0x4b201be9,36.039549699999995
19336,2025-01-31 03:35:42.512265,50.287,8,1920.499812,50.287,1,0xcaf0036a,0,0,8,403,8594,2,1,1,0,0xbe7f348d,139.6007565
20914,2025-01-31 03:35:42.562267,50.001999999999995,8,1920.549814,50.002,1,0xcaf0036a,0,0,8,403,8594,3,2,1,0,0x4b20acef,36.043262299999995
23012,2025-01-31 03:35:42.624025,61.758,8,1920.611572,61.758,1,0xcaf0036a,0,0,8,1403,9594,0,1,1,0,0xbe80df3f,139.6116799
24558,2025-01-31 03:35:42.672037,48.012,8,1920.659584,48.012,1,0xcaf0036a,0,0,8,1403,9594,1,2,1,0,0x4b20e9c9,36.044820099999995
26574,2025-01-31 03:35:42.732031,59.994,8,1920.719578,59.994,1,0xcaf0036a,0,0,8,2034,10225,2,1,1,0,0xbe81ec6c,139.6185708
28189,2025-01-31 03:35:42.782283,50.251999999999995,8,1920.76983,50.252,1,0xcaf0036a,0,0,8,2034,10225,3,2,1,0,0x4b210efc,36.04577239999999
30134,2025-01-31 03:35:42.842313,60.03,8,1920.82986,60.03,1,0xcaf0036a,0,0,8,2331,10522,0,1,1,0,0xbe82691a,139.6217626
31840,2025-01-31 03:35:42.891999,49.686,8,1920.879546,49.686,1,0xcaf0036a,0,0,8,2331,10522,1,2,1,0,0x4b21288d,36.0464269
33708,2025-01-31 03:35:42.952136,60.137,8,1920.939683,60.137,1,0xcaf0036a,0,0,8,2387,10578,2,1,1,0,0xbe827fbc,139.622342
35384,2025-01-31 03:35:43.002008,49.872,8,1920.989555,49.872,1,0xcaf0036a,0,0,8,2387,10578,3,2,1,0,0x4b212fe2,36.0466146
37651,2025-01-31 03:35:43.072582,70.574,8,1921.060129,70.574,1,0xcaf0036a,0,0,8,2445,10636,0,1,1,0,0xbe8296c9,139.62293209999996
39323,2025-01-31 03:35:43.122077,49.495,8,1921.109625,49.496,1,0xcaf0036a,0,0,8,2445,10636,1,2,1,0,0x4b2137d9,36.0468185
