logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Last Stub at Offset,Rerouting Flag,Sub-path Index,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Turn angle,Number of Lanes in driving direction
1472,2025-01-31 03:35:41.972471,0.0,8,1919.960018,0.0,1,0xcaf00370,0,0,8,4550,4550,3,1,0,6,1,0,30,1,2,1,1,0,2
1474,2025-01-31 03:35:41.972521,0.05,8,1919.960068,0.05,7,0xcaf00370,0,0,8,4550,4550,3,1,0,6,1,0,30,1,2,1,1,0,2
3176,2025-01-31 03:35:42.022479,49.958000000000006,8,1920.010026,49.958,7,0xcaf00370,0,0,8,4672,4672,0,1,0,6,1,0,30,1,2,1,1,1,2
3179,2025-01-31 03:35:42.022610,0.131,8,1920.010157,0.131,1,0xcaf00370,0,0,8,4672,4672,0,1,0,6,1,0,30,1,2,1,1,1,2
5455,2025-01-31 03:35:42.093395,70.785,8,1920.080943,70.786,1,0xcaf00370,0,0,8,4818,4818,1,1,0,6,1,0,30,1,2,1,1,0,2
5457,2025-01-31 03:35:42.093427,0.032,8,1920.080974,0.031,7,0xcaf00370,0,0,8,4818,4818,1,1,0,6,1,0,30,1,2,1,1,0,2
8792,2025-01-31 03:35:42.193259,99.83200000000001,8,1920.180806,99.832,1,0xcaf00370,0,0,8,6068,6068,2,1,0,6,1,0,30,1,2,1,1,0,2
8793,2025-01-31 03:35:42.193274,0.015000000000000001,8,1920.180821,0.015,7,0xcaf00370,0,0,8,6068,6068,2,1,0,6,1,0,30,1,2,1,1,0,2
10479,2025-01-31 03:35:42.242441,49.167,8,1920.229988,49.167,1,0xcaf00370,0,0,8,6810,6810,3,0,0,6,1,0,24,1,2,1,1,0,2
10480,2025-01-31 03:35:42.242449,0.008,8,1920.229996,0.008,7,0xcaf00370,0,0,8,6810,6810,3,0,0,6,1,0,24,1,2,1,1,0,2
12433,2025-01-31 03:35:42.302475,60.026,8,1920.290022,60.026,7,0xcaf00370,0,0,8,6810,6810,0,1,0,27,1,0,6,4,0,1,12,248,1
12434,2025-01-31 03:35:42.302479,0.004,8,1920.290026,0.004,1,0xcaf00370,0,0,8,6810,6810,0,1,0,27,1,0,6,4,0,1,12,248,1
14056,2025-01-31 03:35:42.352717,50.238,8,1920.340264,50.238,7,0xcaf00370,0,0,8,7594,7594,1,0,0,6,1,0,30,1,2,1,1,1,2
14057,2025-01-31 03:35:42.352726,0.009000000000000001,8,1920.340274,0.01,1,0xcaf00370,0,0,8,7594,7594,1,0,0,6,1,0,30,1,2,1,1,1,2
16132,2025-01-31 03:35:42.412893,60.167,8,1920.40044,60.166,7,0xcaf00370,0,0,8,7594,7594,2,1,0,28,1,0,0,4,0,0,3,132,0
16138,2025-01-31 03:35:42.413056,0.163,8,1920.400603,0.163,1,0xcaf00370,0,0,8,7594,7594,2,1,0,28,1,0,0,4,0,0,3,132,0
17671,2025-01-31 03:35:42.462454,49.397999999999996,8,1920.450001,49.398,7,0xcaf00370,0,0,8,2034,10225,3,0,0,6,1,0,25,1,2,1,1,1,2
17673,2025-01-31 03:35:42.462482,0.028,8,1920.450029,0.028,1,0xcaf00370,0,0,8,2034,10225,3,0,0,6,1,0,25,1,2,1,1,1,2
19377,2025-01-31 03:35:42.513217,50.735,8,1920.500764,50.735,1,0xcaf00370,0,0,8,2034,10225,0,1,0,29,1,0,5,2,0,1,9,250,1
19392,2025-01-31 03:35:42.513524,0.307,8,1920.501071,0.307,7,0xcaf00370,0,0,8,2034,10225,0,1,0,29,1,0,5,2,0,1,9,250,1
20925,2025-01-31 03:35:42.562723,49.199,8,1920.55027,49.199,7,0xcaf00370,0,0,8,2331,10522,1,1,0,6,1,0,30,1,2,1,1,251,2
20941,2025-01-31 03:35:42.563134,0.41100000000000003,8,1920.550681,0.411,1,0xcaf00370,0,0,8,2331,10522,1,1,0,6,1,0,30,1,2,1,1,251,2
23024,2025-01-31 03:35:42.624639,61.504999999999995,8,1920.612186,61.505,7,0xcaf00370,0,0,8,2387,10578,2,1,0,6,1,0,30,1,2,1,1,253,2
23035,2025-01-31 03:35:42.624950,0.311,8,1920.612498,0.312,1,0xcaf00370,0,0,8,2387,10578,2,1,0,6,1,0,30,1,2,1,1,253,2
24597,2025-01-31 03:35:42.672797,47.847,8,1920.660344,47.846,7,0xcaf00370,0,0,8,2445,10636,3,0,0,6,1,0,30,1,2,1,1,253,2
24601,2025-01-31 03:35:42.672857,0.060000000000000005,8,1920.660404,0.06,1,0xcaf00370,0,0,8,2445,10636,3,0,0,6,1,0,30,1,2,1,1,253,2
26591,2025-01-31 03:35:42.732573,59.716,8,1920.72012,59.716,7,0xcaf00370,0,0,8,2445,10636,0,1,0,30,1,0,0,2,0,0,9,133,0
26595,2025-01-31 03:35:42.732644,0.07100000000000001,8,1920.720191,0.071,1,0xcaf00370,0,0,8,2445,10636,0,1,0,30,1,0,0,2,0,0,9,133,0
28204,2025-01-31 03:35:42.782729,50.085,8,1920.770276,50.085,7,0xcaf00370,0,0,8,2704,10895,1,1,0,6,1,0,30,1,2,1,1,0,2
28208,2025-01-31 03:35:42.782784,0.055,8,1920.770332,0.056,1,0xcaf00370,0,0,8,2704,10895,1,1,0,6,1,0,30,1,2,1,1,0,2
30143,2025-01-31 03:35:42.842714,59.93,8,1920.830261,59.929,7,0xcaf00370,0,0,8,3064,11255,2,1,0,6,1,0,30,1,2,1,1,0,2
30148,2025-01-31 03:35:42.842789,0.075,8,1920.830336,0.075,1,0xcaf00370,0,0,8,3064,11255,2,1,0,6,1,0,30,1,2,1,1,0,2
31865,2025-01-31 03:35:42.892767,49.978,8,1920.880314,49.978,7,0xcaf00370,0,0,8,3222,11413,3,1,0,6,1,0,30,1,2,1,1,0,2
31874,2025-01-31 03:35:42.892938,0.171,8,1920.880485,0.171,1,0xcaf00370,0,0,8,3222,11413,3,1,0,6,1,0,30,1,2,1,1,0,2
33719,2025-01-31 03:35:42.952614,59.676,8,1920.940161,59.676,7,0xcaf00370,0,0,8,4550,12741,0,1,0,6,1,0,30,1,2,1,1,0,2
33720,2025-01-31 03:35:42.952614,0.0,8,1920.940161,0.0,7,0xcaf00370,0,0,8,4550,12741,0,1,0,6,1,0,30,1,2,1,1,0,2
33722,2025-01-31 03:35:42.952693,0.079,8,1920.940241,0.08,1,0xcaf00370,0,0,8,4550,12741,0,1,0,6,1,0,30,1,2,1,1,0,2
35390,2025-01-31 03:35:43.002427,49.734,8,1920.989974,49.733,7,0xcaf00370,0,0,8,4672,12863,1,1,0,6,1,0,30,1,2,1,1,1,2
35391,2025-01-31 03:35:43.002508,0.081,8,1920.990056,0.082,1,0xcaf00370,0,0,8,4672,12863,1,1,0,6,1,0,30,1,2,1,1,1,2
37674,2025-01-31 03:35:43.073250,70.742,8,1921.060797,70.741,7,0xcaf00370,0,0,8,4818,13009,2,1,0,6,1,0,30,1,2,1,1,0,2
37677,2025-01-31 03:35:43.073334,0.08399999999999999,8,1921.060882,0.085,1,0xcaf00370,0,0,8,4818,13009,2,1,0,6,1,0,30,1,2,1,1,0,2
40996,2025-01-31 03:35:43.173464,100.13,8,1921.161011,100.129,7,0xcaf00370,0,0,8,6068,6068,3,1,0,6,1,0,30,1,2,1,1,0,2
40999,2025-01-31 03:35:43.173555,0.091,8,1921.161102,0.091,1,0xcaf00370,0,0,8,6068,6068,3,1,0,6,1,0,30,1,2,1,1,0,2
42731,2025-01-31 03:35:43.222784,49.229,8,1921.210332,49.23,7,0xcaf00370,0,0,8,6810,6810,0,0,0,6,1,0,24,1,2,1,1,0,2
42736,2025-01-31 03:35:43.222904,0.12000000000000001,8,1921.210451,0.119,1,0xcaf00370,0,0,8,6810,6810,0,0,0,6,1,0,24,1,2,1,1,0,2
44679,2025-01-31 03:35:43.282763,59.859,8,1921.27031,59.859,7,0xcaf00370,0,0,8,6810,6810,1,1,0,27,1,0,6,4,0,1,12,248,1
44682,2025-01-31 03:35:43.282859,0.096,8,1921.270406,0.096,1,0xcaf00370,0,0,8,6810,6810,1,1,0,27,1,0,6,4,0,1,12,248,1
46296,2025-01-31 03:35:43.332577,49.717999999999996,8,1921.320124,49.718,7,0xcaf00370,0,0,8,7594,7594,2,0,0,6,1,0,30,1,2,1,1,1,2
46303,2025-01-31 03:35:43.332676,0.09899999999999999,8,1921.320223,0.099,1,0xcaf00370,0,0,8,7594,7594,2,0,0,6,1,0,30,1,2,1,1,1,2
48658,2025-01-31 03:35:43.402774,70.098,8,1921.390321,70.098,7,0xcaf00370,0,0,8,7594,7594,3,1,0,28,1,0,0,4,0,0,3,132,0
48660,2025-01-31 03:35:43.402877,0.103,8,1921.390424,0.103,1,0xcaf00370,0,0,8,7594,7594,3,1,0,28,1,0,0,4,0,0,3,132,0
50276,2025-01-31 03:35:43.452596,49.719,8,1921.440144,49.72,7,0xcaf00370,0,0,8,2034,10225,0,0,0,6,1,0,25,1,2,1,1,1,2
50279,2025-01-31 03:35:43.452701,0.10500000000000001,8,1921.440248,0.104,1,0xcaf00370,0,0,8,2034,10225,0,0,0,6,1,0,25,1,2,1,1,1,2
52272,2025-01-31 03:35:43.512799,60.098,8,1921.500346,60.098,7,0xcaf00370,0,0,8,2034,10225,1,1,0,29,1,0,5,2,0,1,9,250,1
52277,2025-01-31 03:35:43.512951,0.152,8,1921.500498,0.152,1,0xcaf00370,0,0,8,2034,10225,1,1,0,29,1,0,5,2,0,1,9,250,1
53846,2025-01-31 03:35:43.562491,49.54,8,1921.550038,49.54,7,0xcaf00370,0,0,8,2331,10522,2,1,0,6,1,0,30,1,2,1,1,251,2
53860,2025-01-31 03:35:43.562742,0.251,8,1921.55029,0.252,1,0xcaf00370,0,0,8,2331,10522,2,1,0,6,1,0,30,1,2,1,1,251,2
55854,2025-01-31 03:35:43.622519,59.776999999999994,8,1921.610066,59.776,7,0xcaf00370,0,0,8,2387,10578,3,1,0,6,1,0,30,1,2,1,1,253,2
55856,2025-01-31 03:35:43.622633,0.114,8,1921.61018,0.114,1,0xcaf00370,0,0,8,2387,10578,3,1,0,6,1,0,30,1,2,1,1,253,2
57451,2025-01-31 03:35:43.672684,50.050999999999995,8,1921.660231,50.051,7,0xcaf00370,0,0,8,2445,10636,0,0,0,6,1,0,30,1,2,1,1,253,2
57458,2025-01-31 03:35:43.672812,0.128,8,1921.66036,0.129,1,0xcaf00370,0,0,8,2445,10636,0,0,0,6,1,0,30,1,2,1,1,253,2
59469,2025-01-31 03:35:43.732868,60.056,8,1921.720415,60.055,7,0xcaf00370,0,0,8,2445,10636,1,1,0,30,1,0,0,2,0,0,9,133,0
59474,2025-01-31 03:35:43.732989,0.121,8,1921.720536,0.121,1,0xcaf00370,0,0,8,2445,10636,1,1,0,30,1,0,0,2,0,0,9,133,0
61130,2025-01-31 03:35:43.782790,49.800999999999995,8,1921.770337,49.801,7,0xcaf00370,0,0,8,2704,10895,2,1,0,6,1,0,30,1,2,1,1,0,2
61139,2025-01-31 03:35:43.782931,0.14100000000000001,8,1921.770478,0.141,1,0xcaf00370,0,0,8,2704,10895,2,1,0,6,1,0,30,1,2,1,1,0,2
63114,2025-01-31 03:35:43.842700,59.769000000000005,8,1921.830248,59.77,7,0xcaf00370,0,0,8,3064,11255,3,1,0,6,1,0,30,1,2,1,1,0,2
63124,2025-01-31 03:35:43.842979,0.279,8,1921.830527,0.279,1,0xcaf00370,0,0,8,3064,11255,3,1,0,6,1,0,30,1,2,1,1,0,2
64816,2025-01-31 03:35:43.892885,49.906,8,1921.880432,49.905,7,0xcaf00370,0,0,8,3222,11413,0,1,0,6,1,0,30,1,2,1,1,0,2
64821,2025-01-31 03:35:43.893050,0.165,8,1921.880597,0.165,1,0xcaf00370,0,0,8,3222,11413,0,1,0,6,1,0,30,1,2,1,1,0,2
66723,2025-01-31 03:35:43.952639,59.589000000000006,8,1921.940186,59.589,7,0xcaf00370,0,0,8,4550,12741,1,1,0,6,1,0,30,1,2,1,1,0,2
66736,2025-01-31 03:35:43.952895,0.256,8,1921.940442,0.256,1,0xcaf00370,0,0,8,4550,12741,1,1,0,6,1,0,30,1,2,1,1,0,2
68401,2025-01-31 03:35:44.002510,49.615,8,1921.990058,49.616,7,0xcaf00370,0,0,8,4672,12863,2,1,0,6,1,0,30,1,2,1,1,1,2
68414,2025-01-31 03:35:44.002796,0.28600000000000003,8,1921.990343,0.285,1,0xcaf00370,0,0,8,4672,12863,2,1,0,6,1,0,30,1,2,1,1,1,2
70343,2025-01-31 03:35:44.062738,59.942,8,1922.050285,59.942,7,0xcaf00370,0,0,8,4818,13009,3,1,0,6,1,0,30,1,2,1,1,0,2
70344,2025-01-31 03:35:44.062751,0.013,8,1922.050298,0.013,1,0xcaf00370,0,0,8,4818,13009,3,1,0,6,1,0,30,1,2,1,1,0,2
73977,2025-01-31 03:35:44.172668,109.917,8,1922.160215,109.917,1,0xcaf00370,0,0,8,6068,6068,0,1,0,6,1,0,30,1,2,1,1,0,2
73984,2025-01-31 03:35:44.172744,0.076,8,1922.160291,0.076,7,0xcaf00370,0,0,8,6068,6068,0,1,0,6,1,0,30,1,2,1,1,0,2
75744,2025-01-31 03:35:44.222614,49.87,8,1922.210161,49.87,1,0xcaf00370,0,0,8,6810,6810,1,0,0,6,1,0,24,1,2,1,1,0,2
75748,2025-01-31 03:35:44.222703,0.089,8,1922.21025,0.089,7,0xcaf00370,0,0,8,6810,6810,1,0,0,6,1,0,24,1,2,1,1,0,2
77707,2025-01-31 03:35:44.282643,59.94,8,1922.27019,59.94,1,0xcaf00370,0,0,8,6810,6810,2,1,0,27,1,0,6,4,0,1,12,248,1
77710,2025-01-31 03:35:44.282702,0.059,8,1922.270249,0.059,7,0xcaf00370,0,0,8,6810,6810,2,1,0,27,1,0,6,4,0,1,12,248,1
79313,2025-01-31 03:35:44.332738,50.035999999999994,8,1922.320285,50.036,7,0xcaf00370,0,0,8,7594,7594,3,0,0,6,1,0,30,1,2,1,1,1,2
79319,2025-01-31 03:35:44.332897,0.159,8,1922.320445,0.16,1,0xcaf00370,0,0,8,7594,7594,3,0,0,6,1,0,30,1,2,1,1,1,2
81361,2025-01-31 03:35:44.392987,60.089999999999996,8,1922.380534,60.089,1,0xcaf00370,0,0,8,7594,7594,0,1,0,28,1,0,0,4,0,0,3,132,0
81364,2025-01-31 03:35:44.393006,0.019,8,1922.380553,0.019,7,0xcaf00370,0,0,8,7594,7594,0,1,0,28,1,0,0,4,0,0,3,132,0
82930,2025-01-31 03:35:44.442428,49.422000000000004,8,1922.429975,49.422,7,0xcaf00370,0,0,8,2034,10225,1,0,0,6,1,0,25,1,2,1,1,1,2
82933,2025-01-31 03:35:44.442591,0.163,8,1922.430138,0.163,1,0xcaf00370,0,0,8,2034,10225,1,0,0,6,1,0,25,1,2,1,1,1,2
85283,2025-01-31 03:35:44.513313,70.722,8,1922.500861,70.723,1,0xcaf00370,0,0,8,2034,10225,2,1,0,29,1,0,5,2,0,1,9,250,1
85289,2025-01-31 03:35:44.513399,0.08600000000000001,8,1922.500946,0.085,7,0xcaf00370,0,0,8,2034,10225,2,1,0,29,1,0,5,2,0,1,9,250,1
86861,2025-01-31 03:35:44.562490,49.091,8,1922.550037,49.091,7,0xcaf00370,0,0,8,2331,10522,3,1,0,6,1,0,30,1,2,1,1,251,2
86864,2025-01-31 03:35:44.562577,0.087,8,1922.550124,0.087,1,0xcaf00370,0,0,8,2331,10522,3,1,0,6,1,0,30,1,2,1,1,251,2
88881,2025-01-31 03:35:44.622605,60.028,8,1922.610152,60.028,7,0xcaf00370,0,0,8,2387,10578,0,1,0,6,1,0,30,1,2,1,1,253,2
88882,2025-01-31 03:35:44.622627,0.022,8,1922.610174,0.022,1,0xcaf00370,0,0,8,2387,10578,0,1,0,6,1,0,30,1,2,1,1,253,2
90531,2025-01-31 03:35:44.673029,50.402,8,1922.660576,50.402,7,0xcaf00370,0,0,8,2445,10636,1,0,0,6,1,0,30,1,2,1,1,253,2
90539,2025-01-31 03:35:44.673224,0.195,8,1922.660771,0.195,1,0xcaf00370,0,0,8,2445,10636,1,0,0,6,1,0,30,1,2,1,1,253,2
92555,2025-01-31 03:35:44.733171,59.947,8,1922.720718,59.947,1,0xcaf00370,0,0,8,2445,10636,2,1,0,30,1,0,0,2,0,0,9,133,0
