
logIndex,logTime,ΔlogTime[ms],length,timeStamp[s],ΔtimeStamp[ms],seq,ID,msgcnt,Δmsgcnt,LaneID,分割数,分割番号,Number of Array,Instance ID,Is Retransmission,Is Update,Path Id,Offset[cm],End Offset[cm],End Offset Final,Confidence[%],Standard Deviation,Lane Number,Profile Type,Available,Profile Value
663654,2025-01-31 03:36:02.085774,0.0,1316,8453.719873,0.0,18397,0x10a,14373,1,5130010000000273798,3,1,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,レーン形状情報(1),"   *Lane ID: 5130010000000273798
   *Type: 0
   *形状要素点数: 18"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(1),"   *緯度[deg]: 36.041404799567864
   *軽度[deg]: 139.59546830030052
   *高さ[cm]: 5975"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(2),"   *緯度[deg]: 36.041410163985894
   *軽度[deg]: 139.59548271717398
   *高さ[cm]: 5975"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(3),"   *緯度[deg]: 36.04142927472513
   *軽度[deg]: 139.5955326733169
   *高さ[cm]: 5977"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(4),"   *緯度[deg]: 36.04144872074049
   *軽度[deg]: 139.59558296473594
   *高さ[cm]: 5979"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(5),"   *緯度[deg]: 36.0414674962036
   *軽度[deg]: 139.59563325615497
   *高さ[cm]: 5980"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(6),"   *緯度[deg]: 36.04148660694283
   *軽度[deg]: 139.59568354757403
   *高さ[cm]: 5982"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(7),"   *緯度[deg]: 36.04150571768207
   *軽度[deg]: 139.59573383899306
   *高さ[cm]: 5984"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(8),"   *緯度[deg]: 36.04152482842131
   *軽度[deg]: 139.5957841304121
   *高さ[cm]: 5985"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(9),"   *緯度[deg]: 36.04154393916054
   *軽度[deg]: 139.59583408655502
   *高さ[cm]: 5987"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(10),"   *緯度[deg]: 36.04156304989978
   *軽度[deg]: 139.59588437797404
   *高さ[cm]: 5989"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(11),"   *緯度[deg]: 36.04158216063902
   *軽度[deg]: 139.5959346693931
   *高さ[cm]: 5991"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(12),"   *緯度[deg]: 36.041601606654375
   *軽度[deg]: 139.595984625536
   *高さ[cm]: 5992"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(13),"   *緯度[deg]: 36.04162071739361
   *軽度[deg]: 139.59603491695506
   *高さ[cm]: 5994"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(14),"   *緯度[deg]: 36.04164016340897
   *軽度[deg]: 139.5960852083741
   *高さ[cm]: 5996"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(15),"   *緯度[deg]: 36.04165927414821
   *軽度[deg]: 139.59613516451702
   *高さ[cm]: 5998"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(16),"   *緯度[deg]: 36.041678720163574
   *軽度[deg]: 139.59618512065992
   *高さ[cm]: 5999"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(17),"   *緯度[deg]: 36.041697830902805
   *軽度[deg]: 139.59623541207895
   *高さ[cm]: 6001"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(18),"   *緯度[deg]: 36.041711577224014
   *軽度[deg]: 139.59627128662456
   *高さ[cm]: 6002"
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
