logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Position Index,Position Probablility,Position Age,Position Confidence,Speed,Relative Heading
16205,2025-01-31 03:35:42.414916,0.0,8,1920.402463,0.0,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,159,0,64,0
16221,2025-01-31 03:35:42.415215,0.299,8,1920.402762,0.299,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,159,0,64,0
33728,2025-01-31 03:35:42.952874,537.659,8,1920.940421,537.659,7,0xcaf0054c,0,0,8,6096,6096,3,0,30,88,0,64,0
33731,2025-01-31 03:35:42.952954,0.08,8,1920.940501,0.08,1,0xcaf0054c,0,0,8,6096,6096,3,0,30,88,0,64,0
52347,2025-01-31 03:35:43.514814,561.86,8,1921.502361,561.86,7,0xcaf0054c,0,0,8,6096,6096,0,0,30,19,0,64,0
52360,2025-01-31 03:35:43.515063,0.24899999999999997,8,1921.50261,0.249,1,0xcaf0054c,0,0,8,6096,6096,0,0,30,19,0,64,0
70351,2025-01-31 03:35:44.062849,547.786,8,1922.050396,547.786,7,0xcaf0054c,0,0,8,6096,6096,1,0,30,129,0,64,0
70381,2025-01-31 03:35:44.063732,0.883,8,1922.051279,0.883,1,0xcaf0054c,0,0,8,6096,6096,1,0,30,129,0,64,0
88886,2025-01-31 03:35:44.622724,558.9920000000001,8,1922.610271,558.992,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,42,0,64,0
88895,2025-01-31 03:35:44.622890,0.166,8,1922.610437,0.166,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,42,0,64,0
106725,2025-01-31 03:35:45.162691,539.8009999999999,8,1923.150238,539.801,7,0xcaf0054c,0,0,8,6096,6096,3,0,30,150,0,64,0
106750,2025-01-31 03:35:45.163241,0.55,8,1923.150788,0.55,1,0xcaf0054c,0,0,8,6096,6096,3,0,30,150,0,64,0
126108,2025-01-31 03:35:45.743065,579.824,8,1923.730612,579.824,7,0xcaf0054c,0,0,8,6096,6096,0,0,30,84,0,64,0
126110,2025-01-31 03:35:45.743181,0.116,8,1923.730728,0.116,1,0xcaf0054c,0,0,8,6096,6096,0,0,30,84,0,64,0
144598,2025-01-31 03:35:46.302749,559.568,8,1924.290296,559.568,7,0xcaf0054c,0,0,8,6096,6096,1,0,30,16,0,64,0
144605,2025-01-31 03:35:46.302940,0.191,8,1924.290487,0.191,1,0xcaf0054c,0,0,8,6096,6096,1,0,30,16,0,64,0
163348,2025-01-31 03:35:46.873365,570.425,8,1924.860912,570.425,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,130,0,64,0
163349,2025-01-31 03:35:46.873528,0.163,8,1924.861075,0.163,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,130,0,64,0
180894,2025-01-31 03:35:47.403261,529.7330000000001,8,1925.390808,529.733,1,0xcaf0054c,0,0,8,6096,6096,3,0,30,57,0,64,0
180896,2025-01-31 03:35:47.403366,0.10500000000000001,8,1925.390913,0.105,7,0xcaf0054c,0,0,8,6096,6096,3,0,30,57,0,64,0
199113,2025-01-31 03:35:47.962883,559.517,8,1925.95043,559.517,7,0xcaf0054c,0,0,8,6096,6096,0,0,30,169,0,64,0
199120,2025-01-31 03:35:47.963333,0.45,8,1925.950881,0.451,1,0xcaf0054c,0,0,8,6096,6096,0,0,30,169,0,64,0
217903,2025-01-31 03:35:48.522906,559.573,8,1926.510453,559.572,1,0xcaf0054c,0,0,8,6096,6096,1,0,30,101,0,64,0
217904,2025-01-31 03:35:48.522911,0.005,8,1926.510458,0.005,7,0xcaf0054c,0,0,8,6096,6096,1,0,30,101,0,64,0
235610,2025-01-31 03:35:49.063250,540.339,8,1927.050797,540.339,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,28,0,64,0
235613,2025-01-31 03:35:49.063389,0.13899999999999998,8,1927.050936,0.139,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,28,0,64,0
253504,2025-01-31 03:35:49.603010,539.621,8,1927.590557,539.621,7,0xcaf0054c,0,0,8,6096,6096,3,0,30,138,0,64,0
253507,2025-01-31 03:35:49.603147,0.13699999999999998,8,1927.590694,0.137,1,0xcaf0054c,0,0,8,6096,6096,3,0,30,138,0,64,0
271901,2025-01-31 03:35:50.163595,560.448,8,1928.151142,560.448,7,0xcaf0054c,0,0,8,6096,6096,0,0,30,68,0,64,0
271907,2025-01-31 03:35:50.163717,0.122,8,1928.151264,0.122,1,0xcaf0054c,0,0,8,6096,6096,0,0,30,68,0,64,0
290150,2025-01-31 03:35:50.714004,550.2869999999999,8,1928.701551,550.287,7,0xcaf0054c,0,0,8,6096,6096,1,0,30,178,0,64,0
290187,2025-01-31 03:35:50.714800,0.796,8,1928.702347,0.796,1,0xcaf0054c,0,0,8,6096,6096,1,0,30,178,0,64,0
308677,2025-01-31 03:35:51.273668,558.868,8,1929.261215,558.868,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,111,0,64,0
308702,2025-01-31 03:35:51.274507,0.839,8,1929.262054,0.839,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,111,0,64,0
326574,2025-01-31 03:35:51.815562,541.055,8,1929.803109,541.055,7,0xcaf0054c,0,0,8,6096,6096,3,0,30,40,0,64,0
326619,2025-01-31 03:35:51.816490,0.928,8,1929.804037,0.928,1,0xcaf0054c,0,0,8,6096,6096,3,0,30,40,0,64,0
345148,2025-01-31 03:35:52.383717,567.2270000000001,8,1930.371264,567.227,7,0xcaf0054c,0,0,8,6096,6096,0,0,30,152,0,64,0
345161,2025-01-31 03:35:52.384608,0.891,8,1930.372155,0.891,1,0xcaf0054c,0,0,8,6096,6096,0,0,30,152,0,64,0
363123,2025-01-31 03:35:52.933504,548.8960000000001,8,1930.921051,548.896,7,0xcaf0054c,0,0,8,6096,6096,1,0,30,82,0,64,0
363135,2025-01-31 03:35:52.934362,0.858,8,1930.921909,0.858,1,0xcaf0054c,0,0,8,6096,6096,1,0,30,82,0,64,0
381152,2025-01-31 03:35:53.483041,548.679,8,1931.470588,548.679,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,13,0,64,0
381167,2025-01-31 03:35:53.483688,0.647,8,1931.471235,0.647,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,13,0,64,0
399173,2025-01-31 03:35:54.033238,549.55,8,1932.020785,549.55,7,0xcaf0054c,0,0,8,6096,6096,3,0,30,123,0,64,0
399181,2025-01-31 03:35:54.033851,0.6130000000000001,8,1932.021398,0.613,1,0xcaf0054c,0,0,8,6096,6096,3,0,30,123,0,64,0
417028,2025-01-31 03:35:54.573248,539.397,8,1932.560795,539.397,7,0xcaf0054c,0,0,8,6096,6096,0,0,30,51,0,64,0
417032,2025-01-31 03:35:54.573676,0.428,8,1932.561223,0.428,1,0xcaf0054c,0,0,8,6096,6096,0,0,30,51,0,64,0
435019,2025-01-31 03:35:55.123650,549.9739999999999,8,1933.111197,549.974,7,0xcaf0054c,0,0,8,6096,6096,1,0,30,161,0,64,0
435037,2025-01-31 03:35:55.123992,0.342,8,1933.111539,0.342,1,0xcaf0054c,0,0,8,6096,6096,1,0,30,161,0,64,0
453269,2025-01-31 03:35:55.683187,559.195,8,1933.670734,559.195,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,93,0,64,0
453275,2025-01-31 03:35:55.683416,0.229,8,1933.670963,0.229,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,93,0,64,0
471364,2025-01-31 03:35:56.233458,550.042,8,1934.221005,550.042,1,0xcaf0054c,0,0,8,6096,6096,3,0,30,23,0,64,0
471367,2025-01-31 03:35:56.233549,0.091,8,1934.221096,0.091,7,0xcaf0054c,0,0,8,6096,6096,3,0,30,23,0,64,0
489980,2025-01-31 03:35:56.803499,569.9499999999999,8,1934.791046,569.95,1,0xcaf0054c,0,0,8,6096,6096,0,0,30,137,0,64,0
489986,2025-01-31 03:35:56.803836,0.337,8,1934.791383,0.337,7,0xcaf0054c,0,0,8,6096,6096,0,0,30,137,0,64,0
507755,2025-01-31 03:35:57.343206,539.37,8,1935.330754,539.371,1,0xcaf0054c,0,0,8,6096,6096,1,0,30,65,0,64,0
507760,2025-01-31 03:35:57.343748,0.5419999999999999,8,1935.331295,0.541,7,0xcaf0054c,0,0,8,6096,6096,1,0,30,65,0,64,0
525902,2025-01-31 03:35:57.893560,549.812,8,1935.881107,549.812,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,175,0,64,0
525914,2025-01-31 03:35:57.894348,0.7879999999999999,8,1935.881895,0.788,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,175,0,64,0
544301,2025-01-31 03:35:58.452576,558.228,8,1936.440123,558.228,1,0xcaf0054c,0,0,8,6096,6096,3,0,30,107,0,64,0
544320,2025-01-31 03:35:58.453310,0.734,8,1936.440857,0.734,7,0xcaf0054c,0,0,8,6096,6096,3,0,30,107,0,64,0
562259,2025-01-31 03:35:59.002626,549.316,8,1936.990174,549.317,1,0xcaf0054c,0,0,8,6096,6096,0,0,30,37,0,64,0
562285,2025-01-31 03:35:59.003319,0.6930000000000001,8,1936.990866,0.692,7,0xcaf0054c,0,0,8,6096,6096,0,0,30,37,0,64,0
580361,2025-01-31 03:35:59.553509,550.1899999999999,8,1937.541056,550.19,1,0xcaf0054c,0,0,8,6096,6096,1,0,30,147,0,64,0
580374,2025-01-31 03:35:59.553899,0.39,8,1937.541446,0.39,7,0xcaf0054c,0,0,8,6096,6096,1,0,30,147,0,64,0
598350,2025-01-31 03:36:00.104109,550.2099999999999,8,1938.091656,550.21,1,0xcaf0054c,0,0,8,6096,6096,2,0,30,76,0,64,0
598355,2025-01-31 03:36:00.104324,0.215,8,1938.091871,0.215,7,0xcaf0054c,0,0,8,6096,6096,2,0,30,76,0,64,0
616578,2025-01-31 03:36:00.653401,549.077,8,1938.640948,549.077,1,0xcaf0054c,0,0,8,6097,6097,3,0,30,6,0,70,0
616579,2025-01-31 03:36:00.653529,0.128,8,1938.641076,0.128,7,0xcaf0054c,0,0,8,6097,6097,3,0,30,6,0,70,0
634621,2025-01-31 03:36:01.204305,550.7760000000001,8,1939.191852,550.776,7,0xcaf0054c,0,0,8,6097,6097,0,0,30,118,0,70,0
634636,2025-01-31 03:36:01.204727,0.422,8,1939.192275,0.423,1,0xcaf0054c,0,0,8,6097,6097,0,0,30,118,0,70,0
652998,2025-01-31 03:36:01.763353,558.626,8,1939.7509,558.625,7,0xcaf0054c,0,0,8,6098,6098,1,0,30,49,0,72,0
653002,2025-01-31 03:36:01.763497,0.14400000000000002,8,1939.751044,0.144,1,0xcaf0054c,0,0,8,6098,6098,1,0,30,49,0,72,0
671347,2025-01-31 03:36:02.315525,552.028,8,1940.303072,552.028,1,0xcaf0054c,0,0,8,6098,6098,2,0,30,158,0,72,0
671447,2025-01-31 03:36:02.317523,1.9980000000000002,8,1940.30507,1.998,7,0xcaf0054c,0,0,8,6098,6098,2,0,30,158,0,72,0
689292,2025-01-31 03:36:02.863244,545.721,8,1940.850791,545.721,7,0xcaf0054c,0,0,8,6100,6100,3,0,30,90,0,74,253
689295,2025-01-31 03:36:02.863472,0.228,8,1940.851019,0.228,1,0xcaf0054c,0,0,8,6100,6100,3,0,30,90,0,74,253
707862,2025-01-31 03:36:03.416161,552.689,8,1941.403708,552.689,1,0xcaf0054c,0,0,8,6102,6102,0,0,30,19,0,74,253
707872,2025-01-31 03:36:03.416305,0.14400000000000002,8,1941.403852,0.144,7,0xcaf0054c,0,0,8,6102,6102,0,0,30,19,0,74,253
725812,2025-01-31 03:36:03.963213,546.9079999999999,8,1941.95076,546.908,7,0xcaf0054c,0,0,8,6102,6102,1,0,30,130,0,74,253
725816,2025-01-31 03:36:03.963587,0.374,8,1941.951134,0.374,1,0xcaf0054c,0,0,8,6102,6102,1,0,30,130,0,74,253
744741,2025-01-31 03:36:04.533500,569.913,8,1942.521047,569.913,7,0xcaf0054c,0,0,8,6104,6104,2,0,30,63,0,74,253
744743,2025-01-31 03:36:04.533693,0.193,8,1942.52124,0.193,1,0xcaf0054c,0,0,8,6104,6104,2,0,30,63,0,74,253
762814,2025-01-31 03:36:05.083411,549.7180000000001,8,1943.070958,549.718,7,0xcaf0054c,0,0,8,6104,6104,3,0,30,173,0,74,253
762816,2025-01-31 03:36:05.083627,0.216,8,1943.071175,0.217,1,0xcaf0054c,0,0,8,6104,6104,3,0,30,173,0,74,253
780916,2025-01-31 03:36:05.633282,549.655,8,1943.620829,549.654,7,0xcaf0054c,0,0,8,6106,6106,0,0,30,102,0,74,253
780919,2025-01-31 03:36:05.633495,0.213,8,1943.621043,0.214,1,0xcaf0054c,0,0,8,6106,6106,0,0,30,102,0,74,253
798616,2025-01-31 03:36:06.173343,539.848,8,1944.16089,539.847,7,0xcaf0054c,0,0,8,6108,6108,1,0,30,31,0,75,253
798622,2025-01-31 03:36:06.173569,0.22599999999999998,8,1944.161116,0.226,1,0xcaf0054c,0,0,8,6108,6108,1,0,30,31,0,75,253
816859,2025-01-31 03:36:06.723805,550.236,8,1944.711353,550.237,1,0xcaf0054c,0,0,8,6108,6108,2,0,30,142,0,75,253
816865,2025-01-31 03:36:06.723859,0.054,8,1944.711406,0.053,7,0xcaf0054c,0,0,8,6108,6108,2,0,30,142,0,75,253
834513,2025-01-31 03:36:07.263310,539.451,8,1945.250857,539.451,7,0xcaf0054c,0,0,8,6110,6110,3,0,30,70,0,75,253
834519,2025-01-31 03:36:07.263545,0.235,8,1945.251092,0.235,1,0xcaf0054c,0,0,8,6110,6110,3,0,30,70,0,75,253
852945,2025-01-31 03:36:07.823787,560.242,8,1945.811334,560.242,1,0xcaf0054c,0,0,8,6110,6110,0,0,30,181,0,75,253
852948,2025-01-31 03:36:07.823830,0.043000000000000003,8,1945.811377,0.043,7,0xcaf0054c,0,0,8,6110,6110,0,0,30,181,0,75,253
870970,2025-01-31 03:36:08.373696,549.866,8,1946.361243,549.866,1,0xcaf0054c,0,0,8,6112,6112,1,0,30,110,0,75,253
870973,2025-01-31 03:36:08.373772,0.076,8,1946.361319,0.076,7,0xcaf0054c,0,0,8,6112,6112,1,0,30,110,0,75,253
889318,2025-01-31 03:36:08.933730,559.958,8,1946.921277,559.958,1,0xcaf0054c,0,0,8,6114,6114,2,0,30,43,0,75,253
889322,2025-01-31 03:36:08.933836,0.106,8,1946.921383,0.106,7,0xcaf0054c,0,0,8,6114,6114,2,0,30,43,0,75,253
907830,2025-01-31 03:36:09.493728,559.8919999999999,8,1947.481275,559.892,1,0xcaf0054c,0,0,8,6114,6114,3,0,30,154,0,75,253
907838,2025-01-31 03:36:09.494012,0.28400000000000003,8,1947.481559,0.284,7,0xcaf0054c,0,0,8,6114,6114,3,0,30,154,0,75,253
925534,2025-01-31 03:36:10.033967,539.9549999999999,8,1948.021515,539.956,1,0xcaf0054c,0,0,8,6116,6116,0,0,30,83,0,75,253
925538,2025-01-31 03:36:10.034137,0.17,8,1948.021684,0.169,7,0xcaf0054c,0,0,8,6116,6116,0,0,30,83,0,75,253
943759,2025-01-31 03:36:10.593669,559.532,8,1948.581216,559.532,1,0xcaf0054c,0,0,8,6118,6118,1,0,30,16,0,74,253
943763,2025-01-31 03:36:10.593796,0.127,8,1948.581343,0.127,7,0xcaf0054c,0,0,8,6118,6118,1,0,30,16,0,74,253
962255,2025-01-31 03:36:11.163758,569.962,8,1949.151305,569.962,1,0xcaf0054c,0,0,8,6118,6118,2,0,30,129,0,74,253
962264,2025-01-31 03:36:11.163991,0.23299999999999998,8,1949.151538,0.233,7,0xcaf0054c,0,0,8,6118,6118,2,0,30,129,0,74,253
980426,2025-01-31 03:36:11.715690,551.6990000000001,8,1949.703237,551.699,1,0xcaf0054c,0,0,8,6120,6120,3,0,30,59,0,74,253
980440,2025-01-31 03:36:11.716059,0.36900000000000005,8,1949.703607,0.37,7,0xcaf0054c,0,0,8,6120,6120,3,0,30,59,0,74,253
998424,2025-01-31 03:36:12.263568,547.509,8,1950.251115,547.508,7,0xcaf0054c,0,0,8,6120,6120,0,0,30,169,0,74,253
998442,2025-01-31 03:36:12.263990,0.422,8,1950.251538,0.423,1,0xcaf0054c,0,0,8,6120,6120,0,0,30,169,0,74,253
1016577,2025-01-31 03:36:12.815810,551.8199999999999,8,1950.803358,551.82,1,0xcaf0054c,0,0,8,6122,6122,1,0,30,98,0,74,253
1016641,2025-01-31 03:36:12.817091,1.281,8,1950.804638,1.28,7,0xcaf0054c,0,0,8,6122,6122,1,0,30,98,0,74,253
1034457,2025-01-31 03:36:13.363435,546.344,8,1951.350982,546.344,7,0xcaf0054c,0,0,8,6124,6124,2,0,30,29,0,74,253
1034468,2025-01-31 03:36:13.363740,0.305,8,1951.351287,0.305,1,0xcaf0054c,0,0,8,6124,6124,2,0,30,29,0,74,253
1052858,2025-01-31 03:36:13.924300,560.56,8,1951.911847,560.56,7,0xcaf0054c,0,0,8,6124,6124,3,0,30,139,0,74,253
1052860,2025-01-31 03:36:13.924438,0.13799999999999998,8,1951.911985,0.138,1,0xcaf0054c,0,0,8,6124,6124,3,0,30,139,0,74,253
1070899,2025-01-31 03:36:14.473953,549.515,8,1952.4615,549.515,7,0xcaf0054c,0,0,8,6126,6126,0,0,30,70,0,74,253
1070900,2025-01-31 03:36:14.474114,0.161,8,1952.461661,0.161,1,0xcaf0054c,0,0,8,6126,6126,0,0,30,70,0,74,253
1088889,2025-01-31 03:36:15.024036,549.922,8,1953.011583,549.922,7,0xcaf0054c,0,0,8,6126,6126,1,0,30,181,0,74,253
1088890,2025-01-31 03:36:15.024205,0.16899999999999998,8,1953.011752,0.169,1,0xcaf0054c,0,0,8,6126,6126,1,0,30,181,0,74,253
1106733,2025-01-31 03:36:15.563514,539.3090000000001,8,1953.551061,539.309,7,0xcaf0054c,0,0,8,6127,6127,2,0,30,109,0,72,0
1106742,2025-01-31 03:36:15.563785,0.27099999999999996,8,1953.551332,0.271,1,0xcaf0054c,0,0,8,6127,6127,2,0,30,109,0,72,0
1125194,2025-01-31 03:36:16.124468,560.683,8,1954.112015,560.683,7,0xcaf0054c,0,0,8,6129,6129,3,0,30,40,0,72,0
