logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
730,2025-01-31 04:05:42.020583,0.0,8,3719.996008,0.0,1,0xcaf0036a,0,0,31,5920,5920,0,1,1,0,0xbe7a715e,139.56954539999998
2355,2025-01-31 04:05:42.070489,49.906,8,3720.045914,49.906,1,0xcaf0036a,0,0,31,5920,5920,1,2,1,0,0x4b3bf8e9,36.22215449999999
4388,2025-01-31 04:05:42.130518,60.028999999999996,8,3720.105942,60.028,1,0xcaf0036a,0,0,31,6227,6227,2,1,1,0,0xbe7a9aa6,139.5706022
6069,2025-01-31 04:05:42.180695,50.177,8,3720.15612,50.178,1,0xcaf0036a,0,0,31,6227,6227,3,2,1,0,0x4b3c5fcc,36.224788399999994
7829,2025-01-31 04:05:42.230735,50.04,8,3720.20616,50.04,1,0xcaf0036a,0,0,31,6301,6301,0,1,1,0,0xbe7aa556,139.5708758
9494,2025-01-31 04:05:42.280445,49.709999999999994,8,3720.25587,49.71,1,0xcaf0036a,0,0,31,6301,6301,1,2,1,0,0x4b3c7851,36.22541609999999
11194,2025-01-31 04:05:42.331039,50.594,8,3720.306464,50.594,1,0xcaf0036a,0,0,31,6337,6337,2,1,1,0,0xbe7aaac8,139.57101519999998
12841,2025-01-31 04:05:42.380445,49.406,8,3720.355869,49.405,1,0xcaf0036a,0,0,31,6337,6337,3,2,1,0,0x4b3c8442,36.22572179999999
15177,2025-01-31 04:05:42.451209,70.764,8,3720.426633,70.764,1,0xcaf0036a,0,0,31,6615,6615,0,1,1,0,0xbe7ad877,139.57218469999998
16774,2025-01-31 04:05:42.500440,49.230999999999995,8,3720.475865,49.232,1,0xcaf0036a,0,0,31,6615,6615,1,2,1,0,0x4b3cdefe,36.22804459999999
18705,2025-01-31 04:05:42.560490,60.05,8,3720.535915,60.05,1,0xcaf0036a,0,0,31,6671,6671,2,1,1,0,0xbe7ae1af,139.5724207
20370,2025-01-31 04:05:42.610435,49.945,8,3720.58586,49.945,1,0xcaf0036a,0,0,31,6671,6671,3,2,1,0,0x4b3cf104,36.228505999999996
22383,2025-01-31 04:05:42.670597,60.162,8,3720.646022,60.162,1,0xcaf0036a,0,0,31,7558,7558,0,1,1,0,0xbe7b4751,139.5750225
24028,2025-01-31 04:05:42.720625,50.028000000000006,8,3720.696049,50.027,1,0xcaf0036a,0,0,31,7558,7558,1,2,1,0,0x4b3e1db7,36.23620389999999
25771,2025-01-31 04:05:42.771085,50.46,8,3720.746509,50.46,1,0xcaf0036a,0,0,31,7605,7605,2,1,1,0,0xbe7b4b4c,139.5751244
27420,2025-01-31 04:05:42.820735,49.65,8,3720.79616,49.651,1,0xcaf0036a,0,0,31,7605,7605,3,2,1,0,0x4b3e2dda,36.236616999999995
29814,2025-01-31 04:05:42.890585,69.85,8,3720.86601,69.85,1,0xcaf0036a,0,0,31,414,8605,0,1,1,0,0xbe7bee5e,139.579299
31451,2025-01-31 04:05:42.940743,50.158,8,3720.916168,50.158,1,0xcaf0036a,0,0,31,414,8605,1,2,1,0,0x4b3f712f,36.2448943
33454,2025-01-31 04:05:43.000732,59.989,8,3720.976157,59.989,1,0xcaf0036a,0,0,31,1414,9605,2,1,1,0,0xbe7d3ae8,139.58781199999999
35119,2025-01-31 04:05:43.051278,50.546,8,3721.026702,50.545,1,0xcaf0036a,0,0,31,1414,9605,3,2,1,0,0x4b404ad3,36.250465899999995
37414,2025-01-31 04:05:43.120691,69.413,8,3721.096116,69.414,1,0xcaf0036a,0,0,31,1989,10180,0,1,1,0,0xbe7e0de4,139.59321319999998
39116,2025-01-31 04:05:43.170542,49.851,8,3721.145966,49.85,1,0xcaf0036a,0,0,31,1989,10180,1,2,1,0,0x4b40b418,36.25316079999999
41455,2025-01-31 04:05:43.240717,70.175,8,3721.216142,70.176,1,0xcaf0036a,0,0,31,2989,11180,2,1,1,0,0xbe7efc89,139.59932249999997
43160,2025-01-31 04:05:43.290606,49.889,8,3721.266031,49.889,1,0xcaf0036a,0,0,31,2989,11180,3,2,1,0,0x4b41d139,36.26046009999999
44795,2025-01-31 04:05:43.340715,50.109,8,3721.31614,50.109,1,0xcaf0036a,0,0,31,3232,11423,0,1,1,0,0xbe7f1d0c,139.60015479999998
46477,2025-01-31 04:05:43.390444,49.729,8,3721.365868,49.728,1,0xcaf0036a,0,0,31,3232,11423,1,2,1,0,0x4b42204a,36.26248419999999
48436,2025-01-31 04:05:43.450647,60.203,8,3721.426072,60.204,1,0xcaf0036a,0,0,31,3270,11461,2,1,1,0,0xbe7f1f5a,139.6002138
50115,2025-01-31 04:05:43.502512,51.865,8,3721.477937,51.865,1,0xcaf0036a,0,0,31,3270,11461,3,2,1,0,0x4b422db3,36.2628275
52015,2025-01-31 04:05:43.560431,57.919,8,3721.535855,57.918,1,0xcaf0036a,0,0,31,3669,11860,0,1,1,0,0xbe7f3195,139.6006805
53696,2025-01-31 04:05:43.610404,49.973,8,3721.585829,49.974,1,0xcaf0036a,0,0,31,3669,11860,1,2,1,0,0x4b42b942,36.26640019999999
55714,2025-01-31 04:05:43.670741,60.337,8,3721.646166,60.337,1,0xcaf0036a,0,0,31,4061,12252,2,1,1,0,0xbe7f5103,139.6014851
57339,2025-01-31 04:05:43.720571,49.83,8,3721.695996,49.83,1,0xcaf0036a,0,0,31,4061,12252,3,2,1,0,0x4b4340d6,36.269870999999995
59331,2025-01-31 04:05:43.780434,59.863,8,3721.755858,59.862,1,0xcaf0036a,0,0,31,5225,5225,0,1,1,0,0xbe7a600d,139.5691021
61000,2025-01-31 04:05:43.830470,50.035999999999994,8,3721.805894,50.036,1,0xcaf0036a,0,0,31,5225,5225,1,2,1,0,0x4b3b06a9,36.21595289999999
62965,2025-01-31 04:05:43.890671,60.201,8,3721.866095,60.201,1,0xcaf0036a,0,0,31,5637,5637,2,1,1,0,0xbe7a5d76,139.5690358
64584,2025-01-31 04:05:43.940388,49.717,8,3721.915813,49.718,1,0xcaf0036a,0,0,31,5637,5637,3,2,1,0,0x4b3b970d,36.2196493
66576,2025-01-31 04:05:44.000423,60.035,8,3721.975848,60.035,1,0xcaf0036a,0,0,31,5852,5852,0,1,1,0,0xbe7a6b4a,139.5693898
68246,2025-01-31 04:05:44.050618,50.19499999999999,8,3722.026043,50.195,1,0xcaf0036a,0,0,31,5852,5852,1,2,1,0,0x4b3be171,36.2215537
69863,2025-01-31 04:05:44.100703,50.085,8,3722.076127,50.084,1,0xcaf0036a,0,0,31,5920,5920,2,1,1,0,0xbe7a715e,139.56954539999998
71559,2025-01-31 04:05:44.150580,49.876999999999995,8,3722.126005,49.878,1,0xcaf0036a,0,0,31,5920,5920,3,2,1,0,0x4b3bf8e9,36.22215449999999
73598,2025-01-31 04:05:44.211518,60.938,8,3722.186942,60.937,1,0xcaf0036a,0,0,31,6227,6227,0,1,1,0,0xbe7a9aa6,139.5706022
75287,2025-01-31 04:05:44.260411,48.893,8,3722.235836,48.894,1,0xcaf0036a,0,0,31,6227,6227,1,2,1,0,0x4b3c5fcc,36.224788399999994
77182,2025-01-31 04:05:44.320609,60.198,8,3722.296034,60.198,1,0xcaf0036a,0,0,31,6301,6301,2,1,1,0,0xbe7aa556,139.5708758
78858,2025-01-31 04:05:44.370815,50.206,8,3722.34624,50.206,1,0xcaf0036a,0,0,31,6301,6301,3,2,1,0,0x4b3c7851,36.22541609999999
80824,2025-01-31 04:05:44.430703,59.888,8,3722.406128,59.888,1,0xcaf0036a,0,0,31,6337,6337,0,1,1,0,0xbe7aaac8,139.57101519999998
82458,2025-01-31 04:05:44.480711,50.007999999999996,8,3722.456136,50.008,1,0xcaf0036a,0,0,31,6337,6337,1,2,1,0,0x4b3c8442,36.22572179999999
84737,2025-01-31 04:05:44.550571,69.86,8,3722.525996,69.86,1,0xcaf0036a,0,0,31,6615,6615,2,1,1,0,0xbe7ad877,139.57218469999998
86382,2025-01-31 04:05:44.600410,49.839,8,3722.575835,49.839,1,0xcaf0036a,0,0,31,6615,6615,3,2,1,0,0x4b3cdefe,36.22804459999999
88505,2025-01-31 04:05:44.660443,60.033,8,3722.635868,60.033,1,0xcaf0036a,0,0,31,6671,6671,0,1,1,0,0xbe7ae1af,139.5724207
90135,2025-01-31 04:05:44.710442,49.999,8,3722.685867,49.999,1,0xcaf0036a,0,0,31,6671,6671,1,2,1,0,0x4b3cf104,36.228505999999996
92136,2025-01-31 04:05:44.770581,60.138999999999996,8,3722.746005,60.138,1,0xcaf0036a,0,0,31,7558,7558,2,1,1,0,0xbe7b4751,139.5750225
93776,2025-01-31 04:05:44.820454,49.873,8,3722.795879,49.874,1,0xcaf0036a,0,0,31,7558,7558,3,2,1,0,0x4b3e1db7,36.23620389999999
96150,2025-01-31 04:05:44.890867,70.413,8,3722.866291,70.412,1,0xcaf0036a,0,0,31,7605,7605,0,1,1,0,0xbe7b4b4c,139.5751244
97754,2025-01-31 04:05:44.940692,49.825,8,3722.916116,49.825,1,0xcaf0036a,0,0,31,7605,7605,1,2,1,0,0x4b3e2dda,36.236616999999995
