logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Accuracy,Distance,Value 0,Value 1
399,2025-01-31 04:05:42.010117,0.0,8,3719.985541,0.0,7,0xcaf0025e,0,0,31,24,24,0,4,1,0,0,19,513,509
413,2025-01-31 04:05:42.010382,0.265,8,3719.985807,0.266,1,0xcaf0025e,0,0,31,24,24,0,4,1,0,0,19,513,509
1054,2025-01-31 04:05:42.030204,19.822,8,3720.005629,19.822,7,0xcaf0025e,0,0,31,43,8234,1,4,1,0,0,64,509,509
1072,2025-01-31 04:05:42.030452,0.248,8,3720.005876,0.247,1,0xcaf0025e,0,0,31,43,8234,1,4,1,0,0,64,509,509
2028,2025-01-31 04:05:42.060159,29.707,8,3720.035584,29.708,7,0xcaf0025e,0,0,31,107,8298,2,4,1,0,0,10,509,511
2038,2025-01-31 04:05:42.060421,0.262,8,3720.035846,0.262,1,0xcaf0025e,0,0,31,107,8298,2,4,1,0,0,10,509,511
2676,2025-01-31 04:05:42.080308,19.886999999999997,8,3720.055733,19.887,7,0xcaf0025e,0,0,31,117,8308,3,4,1,0,0,63,511,507
2679,2025-01-31 04:05:42.080404,0.096,8,3720.055829,0.096,1,0xcaf0025e,0,0,31,117,8308,3,4,1,0,0,63,511,507
3371,2025-01-31 04:05:42.100158,19.754,8,3720.075583,19.754,7,0xcaf0025e,0,0,31,180,8371,0,4,1,0,0,11,507,511
3376,2025-01-31 04:05:42.100392,0.23399999999999999,8,3720.075816,0.233,1,0xcaf0025e,0,0,31,180,8371,0,4,1,0,0,11,507,511
4022,2025-01-31 04:05:42.120161,19.769,8,3720.095586,19.77,7,0xcaf0025e,0,0,31,191,8382,1,4,1,0,0,39,511,511
4033,2025-01-31 04:05:42.120605,0.444,8,3720.096029,0.443,1,0xcaf0025e,0,0,31,191,8382,1,4,1,0,0,39,511,511
4735,2025-01-31 04:05:42.140171,19.566,8,3720.115595,19.566,7,0xcaf0025e,0,0,31,230,8421,2,4,1,0,0,28,511,509
4739,2025-01-31 04:05:42.140390,0.219,8,3720.115814,0.219,1,0xcaf0025e,0,0,31,230,8421,2,4,1,0,0,28,511,509
5408,2025-01-31 04:05:42.160156,19.766,8,3720.135581,19.767,7,0xcaf0025e,0,0,31,258,8449,3,4,1,0,0,10,509,511
5414,2025-01-31 04:05:42.160424,0.268,8,3720.135848,0.267,1,0xcaf0025e,0,0,31,258,8449,3,4,1,0,0,10,509,511
6058,2025-01-31 04:05:42.180200,19.776,8,3720.155625,19.777,7,0xcaf0025e,0,0,31,268,8459,0,4,1,0,0,10,511,509
6064,2025-01-31 04:05:42.180447,0.247,8,3720.155871,0.246,1,0xcaf0025e,0,0,31,268,8459,0,4,1,0,0,10,511,509
6732,2025-01-31 04:05:42.200144,19.697,8,3720.175569,19.698,7,0xcaf0025e,0,0,31,278,8469,1,4,1,0,0,10,509,511
6736,2025-01-31 04:05:42.200394,0.25,8,3720.175819,0.25,1,0xcaf0025e,0,0,31,278,8469,1,4,1,0,0,10,509,511
7402,2025-01-31 04:05:42.220157,19.762999999999998,8,3720.195581,19.762,7,0xcaf0025e,0,0,31,288,8479,2,4,1,0,0,67,511,509
7412,2025-01-31 04:05:42.220589,0.432,8,3720.196014,0.433,1,0xcaf0025e,0,0,31,288,8479,2,4,1,0,0,67,511,509
8137,2025-01-31 04:05:42.240160,19.571,8,3720.215584,19.57,7,0xcaf0025e,0,0,31,314,8505,3,16,1,0,3,0,19,1023
8141,2025-01-31 04:05:42.240408,0.248,8,3720.215833,0.249,1,0xcaf0025e,0,0,31,314,8505,3,16,1,0,3,0,19,1023
9163,2025-01-31 04:05:42.270158,29.75,8,3720.245583,29.75,7,0xcaf0025e,0,0,31,355,8546,0,4,1,0,0,30,509,513
9178,2025-01-31 04:05:42.270436,0.27799999999999997,8,3720.245861,0.278,1,0xcaf0025e,0,0,31,355,8546,0,4,1,0,0,30,509,513
9964,2025-01-31 04:05:42.292583,22.147,8,3720.268008,22.147,7,0xcaf0025e,0,0,31,385,8576,1,4,1,0,0,46,513,509
9974,2025-01-31 04:05:42.292917,0.33399999999999996,8,3720.268341,0.333,1,0xcaf0025e,0,0,31,385,8576,1,4,1,0,0,46,513,509
10493,2025-01-31 04:05:42.310126,17.209,8,3720.285551,17.21,7,0xcaf0025e,0,0,31,431,8622,2,4,1,0,0,11,509,501
10518,2025-01-31 04:05:42.310546,0.42000000000000004,8,3720.285971,0.42,1,0xcaf0025e,0,0,31,431,8622,2,4,1,0,0,11,509,501
11162,2025-01-31 04:05:42.330312,19.766,8,3720.305736,19.765,7,0xcaf0025e,0,0,31,442,8633,3,4,1,0,0,14,501,511
11175,2025-01-31 04:05:42.330554,0.242,8,3720.305979,0.243,1,0xcaf0025e,0,0,31,442,8633,3,4,1,0,0,14,501,511
11850,2025-01-31 04:05:42.350264,19.709999999999997,8,3720.325689,19.71,7,0xcaf0025e,0,0,31,456,8647,0,4,1,0,0,59,511,509
11863,2025-01-31 04:05:42.350523,0.259,8,3720.325948,0.259,1,0xcaf0025e,0,0,31,456,8647,0,4,1,0,0,59,511,509
12503,2025-01-31 04:05:42.370265,19.742,8,3720.345689,19.741,7,0xcaf0025e,0,0,31,515,8706,1,4,1,0,0,111,509,511
12519,2025-01-31 04:05:42.370584,0.319,8,3720.346009,0.32,1,0xcaf0025e,0,0,31,515,8706,1,4,1,0,0,111,509,511
13278,2025-01-31 04:05:42.392911,22.326999999999998,8,3720.368336,22.327,7,0xcaf0025e,0,0,31,614,8805,2,16,1,0,3,0,19,1023
13285,2025-01-31 04:05:42.393195,0.28400000000000003,8,3720.36862,0.284,1,0xcaf0025e,0,0,31,614,8805,2,16,1,0,3,0,19,1023
