logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Position Index,Position Probablility,Position Age,Position Confidence,Speed,Relative Heading
740,2025-01-31 04:05:42.021045,0.0,8,3719.996469,0.0,7,0xcaf0054c,0,0,31,5291,5291,3,0,30,167,1,183,253
747,2025-01-31 04:05:42.021219,0.174,8,3719.996644,0.175,1,0xcaf0054c,0,0,31,5291,5291,3,0,30,167,1,183,253
18715,2025-01-31 04:05:42.560958,539.7389999999999,8,3720.536382,539.738,7,0xcaf0054c,0,0,31,5312,5312,0,0,30,95,1,183,253
18723,2025-01-31 04:05:42.561240,0.28200000000000003,8,3720.536665,0.283,1,0xcaf0054c,0,0,31,5312,5312,0,0,30,95,1,183,253
37426,2025-01-31 04:05:43.121187,559.947,8,3721.096612,559.947,7,0xcaf0054c,0,0,31,5334,5334,1,0,30,28,1,183,0
37439,2025-01-31 04:05:43.121488,0.301,8,3721.096913,0.301,1,0xcaf0054c,0,0,31,5334,5334,1,0,30,28,1,183,0
55729,2025-01-31 04:05:43.671522,550.034,8,3721.646947,550.034,7,0xcaf0054c,0,0,31,5334,5334,2,0,30,138,1,183,0
55734,2025-01-31 04:05:43.671681,0.159,8,3721.647106,0.159,1,0xcaf0054c,0,0,31,5334,5334,2,0,30,138,1,183,0
73634,2025-01-31 04:05:44.212579,540.898,8,3722.188004,540.898,7,0xcaf0054c,0,0,31,5358,5358,3,0,30,46,1,183,1
73637,2025-01-31 04:05:44.212739,0.16,8,3722.188164,0.16,1,0xcaf0054c,0,0,31,5358,5358,3,0,30,46,1,183,1
92173,2025-01-31 04:05:44.771573,558.8340000000001,8,3722.746998,558.834,7,0xcaf0054c,0,0,31,5358,5358,0,0,30,157,1,183,1
92179,2025-01-31 04:05:44.771780,0.207,8,3722.747205,0.207,1,0xcaf0054c,0,0,31,5358,5358,0,0,30,157,1,183,1
110524,2025-01-31 04:05:45.321754,549.9739999999999,8,3723.297179,549.974,7,0xcaf0054c,0,0,31,5380,5380,1,0,30,86,1,183,1
110525,2025-01-31 04:05:45.321826,0.07200000000000001,8,3723.297251,0.072,1,0xcaf0054c,0,0,31,5380,5380,1,0,30,86,1,183,1
129221,2025-01-31 04:05:45.881265,559.439,8,3723.85669,559.439,7,0xcaf0054c,0,0,31,5380,5380,2,0,30,199,1,183,1
129223,2025-01-31 04:05:45.881301,0.036000000000000004,8,3723.856726,0.036,1,0xcaf0054c,0,0,31,5380,5380,2,0,30,199,1,183,1
147363,2025-01-31 04:05:46.421584,540.2829999999999,8,3724.397008,540.282,7,0xcaf0054c,0,0,31,5404,5404,3,0,30,109,1,183,1
147369,2025-01-31 04:05:46.421746,0.162,8,3724.397171,0.163,1,0xcaf0054c,0,0,31,5404,5404,3,0,30,109,1,183,1
166070,2025-01-31 04:05:46.981788,560.042,8,3724.957212,560.041,1,0xcaf0054c,0,0,31,5426,5426,0,0,30,40,1,183,253
166071,2025-01-31 04:05:46.981829,0.041,8,3724.957254,0.042,7,0xcaf0054c,0,0,31,5426,5426,0,0,30,40,1,183,253
184103,2025-01-31 04:05:47.521743,539.914,8,3725.497167,539.913,7,0xcaf0054c,0,0,31,5426,5426,1,0,30,149,1,183,253
