logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,AD2 flag,Speed Units,Tunnel,Bridge,Build-up Area,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Effective Speed Limit,Effective Speed Limit Type,Number of Lanes in driving direction
975,2025-01-31 01:52:05.835147,0.0,8,59.919124,0.0,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
992,2025-01-31 01:52:05.835452,0.305,8,59.919429,0.305,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
2638,2025-01-31 01:52:05.885280,49.827999999999996,8,59.969257,49.828,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
2651,2025-01-31 01:52:05.885469,0.189,8,59.969446,0.189,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
4262,2025-01-31 01:52:05.936325,50.856,8,60.020302,50.856,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
4266,2025-01-31 01:52:05.936406,0.081,8,60.020383,0.081,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
5887,2025-01-31 01:52:05.985693,49.287,8,60.06967,49.287,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
5889,2025-01-31 01:52:05.985705,0.012,8,60.069682,0.012,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
8100,2025-01-31 01:52:06.055287,69.58200000000001,8,60.139264,69.582,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
8108,2025-01-31 01:52:06.055405,0.118,8,60.139382,0.118,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
9790,2025-01-31 01:52:06.105580,50.175,8,60.189557,50.175,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
9791,2025-01-31 01:52:06.105583,0.003,8,60.18956,0.003,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
11357,2025-01-31 01:52:06.155993,50.410000000000004,8,60.23997,50.41,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
11360,2025-01-31 01:52:06.156000,0.007,8,60.239977,0.007,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
12986,2025-01-31 01:52:06.205107,49.107,8,60.289084,49.107,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
12987,2025-01-31 01:52:06.205121,0.014,8,60.289098,0.014,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
14927,2025-01-31 01:52:06.265310,60.189,8,60.349286,60.188,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
14929,2025-01-31 01:52:06.265329,0.019,8,60.349306,0.02,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
16618,2025-01-31 01:52:06.316274,50.945,8,60.400251,50.945,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
16619,2025-01-31 01:52:06.316296,0.022,8,60.400272,0.021,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
18605,2025-01-31 01:52:06.376571,60.275000000000006,8,60.460548,60.276,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
18606,2025-01-31 01:52:06.376598,0.027,8,60.460575,0.027,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
20313,2025-01-31 01:52:06.425129,48.531,8,60.509106,48.531,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
20314,2025-01-31 01:52:06.425159,0.030000000000000002,8,60.509136,0.03,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
22256,2025-01-31 01:52:06.485563,60.403999999999996,8,60.56954,60.404,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
22257,2025-01-31 01:52:06.485583,0.02,8,60.56956,0.02,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
23817,2025-01-31 01:52:06.535150,49.567,8,60.619127,49.567,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
23821,2025-01-31 01:52:06.535238,0.088,8,60.619215,0.088,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
26164,2025-01-31 01:52:06.605142,69.904,8,60.689119,69.904,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
26167,2025-01-31 01:52:06.605185,0.043000000000000003,8,60.689162,0.043,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
27705,2025-01-31 01:52:06.655144,49.959,8,60.739121,49.959,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
27713,2025-01-31 01:52:06.655267,0.12300000000000001,8,60.739244,0.123,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
29720,2025-01-31 01:52:06.715163,59.896,8,60.79914,59.896,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
29723,2025-01-31 01:52:06.715214,0.051,8,60.799191,0.051,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
31372,2025-01-31 01:52:06.765668,50.454,8,60.849645,50.454,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
31375,2025-01-31 01:52:06.765877,0.20900000000000002,8,60.849854,0.209,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
33017,2025-01-31 01:52:06.815675,49.798,8,60.899652,49.798,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
33020,2025-01-31 01:52:06.815711,0.036000000000000004,8,60.899688,0.036,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
34650,2025-01-31 01:52:06.865977,50.266,8,60.949954,50.266,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
34651,2025-01-31 01:52:06.866039,0.062,8,60.950016,0.062,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
36607,2025-01-31 01:52:06.926368,60.329,8,61.010345,60.329,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
36608,2025-01-31 01:52:06.926435,0.067,8,61.010412,0.067,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
38181,2025-01-31 01:52:06.975540,49.105000000000004,8,61.059517,49.105,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
38200,2025-01-31 01:52:06.975895,0.355,8,61.059872,0.355,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
40454,2025-01-31 01:52:07.046241,70.346,8,61.130218,70.346,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
40457,2025-01-31 01:52:07.046359,0.118,8,61.130336,0.118,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
42097,2025-01-31 01:52:07.095468,49.109,8,61.179445,49.109,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
42099,2025-01-31 01:52:07.095544,0.076,8,61.179521,0.076,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
44016,2025-01-31 01:52:07.155505,59.961,8,61.239482,59.961,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
44020,2025-01-31 01:52:07.155583,0.078,8,61.23956,0.078,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
45713,2025-01-31 01:52:07.206031,50.448,8,61.290008,50.448,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
45714,2025-01-31 01:52:07.206109,0.078,8,61.290086,0.078,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
47655,2025-01-31 01:52:07.265813,59.704,8,61.34979,59.704,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
47660,2025-01-31 01:52:07.265970,0.157,8,61.349947,0.157,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
49239,2025-01-31 01:52:07.315094,49.124,8,61.399071,49.124,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
49261,2025-01-31 01:52:07.315431,0.337,8,61.399408,0.337,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
51252,2025-01-31 01:52:07.375464,60.033,8,61.459441,60.033,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
51253,2025-01-31 01:52:07.375502,0.038,8,61.459479,0.038,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
52948,2025-01-31 01:52:07.425593,50.090999999999994,8,61.50957,50.091,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
52957,2025-01-31 01:52:07.425840,0.247,8,61.509817,0.247,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
54889,2025-01-31 01:52:07.485693,59.853,8,61.56967,59.853,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
54899,2025-01-31 01:52:07.486144,0.451,8,61.570121,0.451,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
56428,2025-01-31 01:52:07.535042,48.897999999999996,8,61.619019,48.898,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
56468,2025-01-31 01:52:07.535691,0.6489999999999999,8,61.619667,0.648,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
58483,2025-01-31 01:52:07.595405,59.714000000000006,8,61.679382,59.715,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
58501,2025-01-31 01:52:07.595743,0.33799999999999997,8,61.67972,0.338,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
60072,2025-01-31 01:52:07.645457,49.714,8,61.729434,49.714,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
60075,2025-01-31 01:52:07.645509,0.052,8,61.729486,0.052,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
62013,2025-01-31 01:52:07.705175,59.666,8,61.789152,59.666,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
62028,2025-01-31 01:52:07.705398,0.223,8,61.789375,0.223,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
63621,2025-01-31 01:52:07.755420,50.022,8,61.839397,50.022,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
63649,2025-01-31 01:52:07.755904,0.484,8,61.839881,0.484,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
65673,2025-01-31 01:52:07.816059,60.155,8,61.900036,60.155,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
65677,2025-01-31 01:52:07.816194,0.135,8,61.900171,0.135,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
67303,2025-01-31 01:52:07.865384,49.19,8,61.949361,49.19,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
67308,2025-01-31 01:52:07.865429,0.045000000000000005,8,61.949406,0.045,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
69575,2025-01-31 01:52:07.935369,69.94,8,62.019345,69.939,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
69583,2025-01-31 01:52:07.935439,0.06999999999999999,8,62.019416,0.071,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
71241,2025-01-31 01:52:07.986128,50.689,8,62.070105,50.689,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
71245,2025-01-31 01:52:07.986183,0.055,8,62.07016,0.055,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
72786,2025-01-31 01:52:08.035115,48.932,8,62.119092,48.932,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
72802,2025-01-31 01:52:08.035366,0.251,8,62.119343,0.251,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
74450,2025-01-31 01:52:08.085361,49.995,8,62.169338,49.995,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
74455,2025-01-31 01:52:08.085498,0.13699999999999998,8,62.169475,0.137,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
76392,2025-01-31 01:52:08.145549,60.051,8,62.229526,60.051,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
76408,2025-01-31 01:52:08.145879,0.33,8,62.229856,0.33,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
78045,2025-01-31 01:52:08.195299,49.42,8,62.279276,49.42,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
78060,2025-01-31 01:52:08.195509,0.21000000000000002,8,62.279487,0.211,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
79677,2025-01-31 01:52:08.246016,50.507000000000005,8,62.329993,50.506,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
79688,2025-01-31 01:52:08.246253,0.237,8,62.33023,0.237,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
81373,2025-01-31 01:52:08.296515,50.262,8,62.380492,50.262,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
81378,2025-01-31 01:52:08.296781,0.266,8,62.380758,0.266,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
83613,2025-01-31 01:52:08.365568,68.787,8,62.449545,68.787,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
83636,2025-01-31 01:52:08.366296,0.728,8,62.450273,0.728,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
85260,2025-01-31 01:52:08.415396,49.099999999999994,8,62.499373,49.1,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
85304,2025-01-31 01:52:08.416478,1.082,8,62.500455,1.082,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
87217,2025-01-31 01:52:08.476592,60.114000000000004,8,62.560569,60.114,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
87246,2025-01-31 01:52:08.477986,1.3940000000000001,8,62.561963,1.394,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
