2025-09-29 18:33:13,302,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156029, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,303,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156032, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,303,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156033, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,303,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156034, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,304,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156037, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,305,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156038, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,317,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156133, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,318,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156139, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,320,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156141, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,321,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156146, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,322,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156151, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,322,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156270, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,325,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156274, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,325,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158016, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,325,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158020, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,326,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158022, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,326,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158104, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,326,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158108, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,331,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158109, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,332,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158118, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,334,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158125, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,334,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158239, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,336,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158240, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,336,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158244, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,337,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158246, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,337,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158247, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,337,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158252, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,338,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158253, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,339,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158254, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,346,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158333, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,348,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158335, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,350,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158339, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,350,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158341, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,350,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158342, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,351,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158345, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,351,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158461, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,351,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158462, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,362,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158466, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
