logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
19875,2025-06-25 04:33:14.723881,70.708,8,1705.072029,70.709,1,0xcaf0036a,0,0,8,7243,7243,2,24,1,0,0x3e00050,65011792
20367,2025-06-25 04:33:14.773354,49.473000000000006,8,1705.121502,49.473,1,0xcaf0036a,0,0,8,52,8243,3,1,1,0,0x24f9a7f4,-117.96587640000001
20882,2025-06-25 04:33:14.823768,50.414,8,1705.171916,50.414,1,0xcaf0036a,0,0,8,52,8243,0,2,1,0,0x49fbe871,34.1245809
21389,2025-06-25 04:33:14.873550,49.782,8,1705.221745,49.829,1,0xcaf0036a,0,0,8,600,8791,1,1,1,0,0x24fa4057,-117.9619753
22303,2025-06-25 04:33:14.963209,89.659,8,1705.311404,89.659,1,0xcaf0036a,0,0,8,600,8791,2,2,1,0,0x49fc7a4d,34.12831489999999
22825,2025-06-25 04:33:15.013399,50.19,8,1705.361594,50.19,1,0xcaf0036a,0,0,8,600,8791,3,25,1,0,0x12c1dad0,-117.96197497164755
23546,2025-06-25 04:33:15.083693,70.294,8,1705.431887,70.293,1,0xcaf0036a,0,0,8,3242,11433,0,1,0,1,0x24f93bdf,-117.9686433
24050,2025-06-25 04:33:15.133113,49.42,8,1705.481308,49.421,1,0xcaf0036a,0,0,8,3242,11433,1,1,1,1,0x24f93bdf,-117.9686433
24806,2025-06-25 04:33:15.203438,70.325,8,1705.551633,70.325,1,0xcaf0036a,0,0,8,3242,11433,2,2,0,1,0x49fe386d,34.13973569999999
25302,2025-06-25 04:33:15.253145,49.707,8,1705.60134,49.707,1,0xcaf0036a,0,0,8,3242,11433,3,2,1,1,0x49fe386d,34.13973569999999
26021,2025-06-25 04:33:15.324128,70.983,8,1705.672323,70.983,1,0xcaf0036a,0,0,8,3242,11433,0,17,0,0,0x1c00030,29360176
26530,2025-06-25 04:33:15.373381,49.253,8,1705.721576,49.253,1,0xcaf0036a,0,0,8,3242,11433,1,17,1,0,0x1c00030,29360176
