logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
332,2025-01-31 04:14:41.816125,0.0,8,4259.986385,0.0,1,0xcaf0036a,0,0,51,763,763,2,2,1,0,0x4b4aa289,36.318247299999996
1957,2025-01-31 04:14:41.865790,49.665,8,4260.03605,49.665,1,0xcaf0036a,0,0,51,1065,1065,3,1,1,0,0xbe81d489,139.6179593
4301,2025-01-31 04:14:41.936065,70.275,8,4260.106326,70.276,1,0xcaf0036a,0,0,51,1065,1065,0,2,1,0,0x4b4af54f,36.32036629999999
6019,2025-01-31 04:14:41.986102,50.037,8,4260.156362,50.036,1,0xcaf0036a,0,0,51,1312,1312,1,1,1,0,0xbe8180b7,139.6158135
8050,2025-01-31 04:14:42.046034,59.932,8,4260.216294,59.932,1,0xcaf0036a,0,0,51,1312,1312,2,2,1,0,0x4b4b2c00,36.3217664
9798,2025-01-31 04:14:42.095834,49.8,8,4260.266095,49.801,1,0xcaf0036a,0,0,51,1596,1596,3,1,1,0,0xbe813c67,139.61406469999997
11740,2025-01-31 04:14:42.155888,60.054,8,4260.326148,60.053,1,0xcaf0036a,0,0,51,1596,1596,0,2,1,0,0x4b4b7e5a,36.323874599999996
13430,2025-01-31 04:14:42.206051,50.163,8,4260.376312,50.164,1,0xcaf0036a,0,0,51,1678,1678,1,1,1,0,0xbe81314c,139.6137804
15746,2025-01-31 04:14:42.275829,69.778,8,4260.446089,69.777,1,0xcaf0036a,0,0,51,1678,1678,2,2,1,0,0x4b4b9a03,36.32458269999999
17396,2025-01-31 04:14:42.325751,49.922000000000004,8,4260.496011,49.922,1,0xcaf0036a,0,0,51,1722,1722,3,1,1,0,0xbe812ce5,139.6136677
19386,2025-01-31 04:14:42.385849,60.098,8,4260.556109,60.098,1,0xcaf0036a,0,0,51,1722,1722,0,2,1,0,0x4b4ba8ae,36.3249582
