logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Last Stub at Offset,Rerouting Flag,Sub-path Index,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Turn angle,Number of Lanes in driving direction
341,2025-01-31 04:14:41.816617,0.0,8,4259.986877,0.0,7,0xcaf00370,0,0,51,763,763,2,1,0,6,1,0,30,4,2,1,13,230,1
343,2025-01-31 04:14:41.816645,0.028,8,4259.986906,0.029,1,0xcaf00370,0,0,51,763,763,2,1,0,6,1,0,30,4,2,1,13,230,1
1964,2025-01-31 04:14:41.866421,49.776,8,4260.036681,49.775,7,0xcaf00370,0,0,51,1065,1065,3,0,0,6,1,0,30,1,2,1,1,249,3
1965,2025-01-31 04:14:41.866449,0.028,8,4260.036709,0.028,1,0xcaf00370,0,0,51,1065,1065,3,0,0,6,1,0,30,1,2,1,1,249,3
4304,2025-01-31 04:14:41.936606,70.157,8,4260.106866,70.157,7,0xcaf00370,0,0,51,1065,1065,0,1,0,60,1,0,0,1,0,0,1,122,0
4305,2025-01-31 04:14:41.936634,0.028,8,4260.106894,0.028,1,0xcaf00370,0,0,51,1065,1065,0,1,0,60,1,0,0,1,0,0,1,122,0
6022,2025-01-31 04:14:41.986623,49.989,8,4260.156883,49.989,7,0xcaf00370,0,0,51,1312,1312,1,1,0,6,1,0,30,1,2,1,1,0,3
6023,2025-01-31 04:14:41.986653,0.030000000000000002,8,4260.156913,0.03,1,0xcaf00370,0,0,51,1312,1312,1,1,0,6,1,0,30,1,2,1,1,0,3
8054,2025-01-31 04:14:42.046501,59.848,8,4260.216761,59.848,7,0xcaf00370,0,0,51,1596,1596,2,1,0,6,1,0,30,1,2,1,1,4,3
8055,2025-01-31 04:14:42.046529,0.028,8,4260.216789,0.028,1,0xcaf00370,0,0,51,1596,1596,2,1,0,6,1,0,30,1,2,1,1,4,3
9803,2025-01-31 04:14:42.096325,49.796,8,4260.266586,49.797,7,0xcaf00370,0,0,51,1678,1678,3,1,0,6,1,0,30,1,2,1,1,1,3
9804,2025-01-31 04:14:42.096356,0.031,8,4260.266616,0.03,1,0xcaf00370,0,0,51,1678,1678,3,1,0,6,1,0,30,1,2,1,1,1,3
11744,2025-01-31 04:14:42.156334,59.977999999999994,8,4260.326594,59.978,7,0xcaf00370,0,0,51,1722,1722,0,1,0,6,1,0,30,1,2,1,1,2,3
11745,2025-01-31 04:14:42.156363,0.029,8,4260.326623,0.029,1,0xcaf00370,0,0,51,1722,1722,0,1,0,6,1,0,30,1,2,1,1,2,3
13443,2025-01-31 04:14:42.206956,50.592999999999996,8,4260.377216,50.593,7,0xcaf00370,0,0,51,1775,1775,1,1,0,6,1,0,30,1,2,1,1,4,3
13444,2025-01-31 04:14:42.206985,0.029,8,4260.377245,0.029,1,0xcaf00370,0,0,51,1775,1775,1,1,0,6,1,0,30,1,2,1,1,4,3
15753,2025-01-31 04:14:42.276299,69.31400000000001,8,4260.446559,69.314,7,0xcaf00370,0,0,51,1982,1982,2,1,0,6,1,0,30,1,2,1,1,3,3
15754,2025-01-31 04:14:42.276328,0.029,8,4260.446588,0.029,1,0xcaf00370,0,0,51,1982,1982,2,1,0,6,1,0,30,1,2,1,1,3,3
17404,2025-01-31 04:14:42.326221,49.893,8,4260.496481,49.893,7,0xcaf00370,0,0,51,3236,3236,3,1,0,6,1,0,30,1,2,1,1,253,3
17405,2025-01-31 04:14:42.326250,0.029,8,4260.496511,0.03,1,0xcaf00370,0,0,51,3236,3236,3,1,0,6,1,0,30,1,2,1,1,253,3
19396,2025-01-31 04:14:42.386317,60.067,8,4260.556577,60.066,7,0xcaf00370,0,0,51,3336,3336,0,1,0,6,1,0,30,1,2,1,1,250,3
19397,2025-01-31 04:14:42.386346,0.029,8,4260.556606,0.029,1,0xcaf00370,0,0,51,3336,3336,0,1,0,6,1,0,30,1,2,1,1,250,3
21072,2025-01-31 04:14:42.436279,49.933,8,4260.60654,49.934,7,0xcaf00370,0,0,51,3800,3800,1,1,0,6,1,0,30,1,2,1,1,250,3
21073,2025-01-31 04:14:42.436308,0.029,8,4260.606568,0.028,1,0xcaf00370,0,0,51,3800,3800,1,1,0,6,1,0,30,1,2,1,1,250,3
23361,2025-01-31 04:14:42.506998,70.69,8,4260.677258,70.69,7,0xcaf00370,0,0,51,3839,3839,2,1,0,6,1,0,30,1,2,1,1,0,3
23362,2025-01-31 04:14:42.507028,0.030000000000000002,8,4260.677288,0.03,1,0xcaf00370,0,0,51,3839,3839,2,1,0,6,1,0,30,1,2,1,1,0,3
25010,2025-01-31 04:14:42.556965,49.937000000000005,8,4260.727225,49.937,7,0xcaf00370,0,0,51,4218,4218,3,0,0,6,1,0,26,1,2,1,1,252,3
25012,2025-01-31 04:14:42.556998,0.033,8,4260.727258,0.033,1,0xcaf00370,0,0,51,4218,4218,3,0,0,6,1,0,26,1,2,1,1,252,3
26716,2025-01-31 04:14:42.607121,50.123,8,4260.777381,50.123,7,0xcaf00370,0,0,51,4218,4218,0,1,0,61,1,0,4,1,0,1,6,246,1
26717,2025-01-31 04:14:42.607224,0.103,8,4260.777484,0.103,1,0xcaf00370,0,0,51,4218,4218,0,1,0,61,1,0,4,1,0,1,6,246,1
28341,2025-01-31 04:14:42.657912,50.687999999999995,8,4260.828173,50.689,7,0xcaf00370,0,0,51,5300,5300,1,0,0,6,1,0,30,1,2,1,1,0,3
28343,2025-01-31 04:14:42.657951,0.039,8,4260.828211,0.038,1,0xcaf00370,0,0,51,5300,5300,1,0,0,6,1,0,30,1,2,1,1,0,3
30016,2025-01-31 04:14:42.706978,49.027,8,4260.877238,49.027,7,0xcaf00370,0,0,51,5300,5300,2,1,0,62,1,0,0,1,0,0,3,132,0
30018,2025-01-31 04:14:42.707018,0.04,8,4260.877278,0.04,1,0xcaf00370,0,0,51,5300,5300,2,1,0,62,1,0,0,1,0,0,3,132,0
31641,2025-01-31 04:14:42.756318,49.3,8,4260.926579,49.301,7,0xcaf00370,0,0,51,6104,6104,3,1,0,6,1,0,30,1,2,1,1,253,3
31642,2025-01-31 04:14:42.756361,0.043000000000000003,8,4260.926621,0.042,1,0xcaf00370,0,0,51,6104,6104,3,1,0,6,1,0,30,1,2,1,1,253,3
33680,2025-01-31 04:14:42.816313,59.952,8,4260.986573,59.952,7,0xcaf00370,0,0,51,6152,6152,0,1,0,6,1,0,30,1,2,1,1,0,3
33681,2025-01-31 04:14:42.816356,0.043000000000000003,8,4260.986616,0.043,1,0xcaf00370,0,0,51,6152,6152,0,1,0,6,1,0,30,1,2,1,1,0,3
35370,2025-01-31 04:14:42.866933,50.577,8,4261.037194,50.578,7,0xcaf00370,0,0,56,71,71,1,1,0,6,1,0,30,4,0,1,9,247,1
35371,2025-01-31 04:14:42.866974,0.041,8,4261.037234,0.04,1,0xcaf00370,0,0,56,71,71,1,1,0,6,1,0,30,4,0,1,9,247,1
37689,2025-01-31 04:14:42.936410,69.43599999999999,8,4261.10667,69.436,7,0xcaf00370,0,0,56,92,92,2,1,0,6,1,0,30,4,0,1,9,253,1
37690,2025-01-31 04:14:42.936449,0.039,8,4261.106709,0.039,1,0xcaf00370,0,0,56,92,92,2,1,0,6,1,0,30,4,0,1,9,253,1
39424,2025-01-31 04:14:42.986453,50.004,8,4261.156713,50.004,7,0xcaf00370,0,0,56,178,178,3,1,0,6,1,0,30,4,0,1,9,14,1
39425,2025-01-31 04:14:42.986489,0.036000000000000004,8,4261.156749,0.036,1,0xcaf00370,0,0,56,178,178,3,1,0,6,1,0,30,4,0,1,9,14,1
41076,2025-01-31 04:14:43.036789,50.3,8,4261.207049,50.3,7,0xcaf00370,0,0,56,398,398,0,0,0,6,1,0,17,4,0,1,9,4,1
41077,2025-01-31 04:14:43.036825,0.036000000000000004,8,4261.207085,0.036,1,0xcaf00370,0,0,56,398,398,0,0,0,6,1,0,17,4,0,1,9,4,1
42789,2025-01-31 04:14:43.086693,49.868,8,4261.256953,49.868,7,0xcaf00370,0,0,56,398,398,1,1,0,63,1,0,13,4,0,1,9,234,1
42790,2025-01-31 04:14:43.086728,0.034999999999999996,8,4261.256988,0.035,1,0xcaf00370,0,0,56,398,398,1,1,0,63,1,0,13,4,0,1,9,234,1
45051,2025-01-31 04:14:43.156303,69.575,8,4261.326563,69.575,7,0xcaf00370,0,0,56,412,412,2,0,0,6,1,0,30,4,0,1,9,3,1
45052,2025-01-31 04:14:43.156335,0.032,8,4261.326595,0.032,1,0xcaf00370,0,0,56,412,412,2,0,0,6,1,0,30,4,0,1,9,3,1
46771,2025-01-31 04:14:43.206630,50.295,8,4261.37689,50.295,7,0xcaf00370,0,0,56,412,412,3,0,0,8,1,0,0,4,0,0,10,28,0
46772,2025-01-31 04:14:43.206661,0.031,8,4261.376921,0.031,1,0xcaf00370,0,0,56,412,412,3,0,0,8,1,0,0,4,0,0,10,28,0
48354,2025-01-31 04:14:43.256573,49.912,8,4261.426833,49.912,7,0xcaf00370,0,0,56,412,412,0,0,0,9,1,0,0,4,0,1,9,85,1
48355,2025-01-31 04:14:43.256602,0.029,8,4261.426862,0.029,1,0xcaf00370,0,0,56,412,412,0,0,0,9,1,0,0,4,0,1,9,85,1
50008,2025-01-31 04:14:43.306495,49.893,8,4261.476755,49.893,7,0xcaf00370,0,0,56,412,412,1,0,0,10,1,0,0,4,0,1,9,179,1
50010,2025-01-31 04:14:43.306523,0.028,8,4261.476783,0.028,1,0xcaf00370,0,0,56,412,412,1,0,0,10,1,0,0,4,0,1,9,179,1
52337,2025-01-31 04:14:43.376738,70.215,8,4261.546998,70.215,7,0xcaf00370,0,0,56,412,412,2,1,0,11,1,0,0,4,0,0,10,208,0
52338,2025-01-31 04:14:43.376763,0.025,8,4261.547023,0.025,1,0xcaf00370,0,0,56,412,412,2,1,0,11,1,0,0,4,0,0,10,208,0
54016,2025-01-31 04:14:43.426335,49.571999999999996,8,4261.596595,49.572,7,0xcaf00370,0,0,56,425,425,3,0,0,6,1,0,30,4,0,1,9,2,1
54017,2025-01-31 04:14:43.426358,0.023,8,4261.596618,0.023,1,0xcaf00370,0,0,56,425,425,3,0,0,6,1,0,30,4,0,1,9,2,1
56035,2025-01-31 04:14:43.486447,60.089,8,4261.656707,60.089,7,0xcaf00370,0,0,56,425,425,0,1,0,12,1,0,0,4,0,0,10,159,0
56036,2025-01-31 04:14:43.486471,0.024,8,4261.656732,0.025,1,0xcaf00370,0,0,56,425,425,0,1,0,12,1,0,0,4,0,0,10,159,0
57650,2025-01-31 04:14:43.536835,50.364,8,4261.707095,50.363,7,0xcaf00370,0,0,57,114,114,1,0,0,6,1,0,30,4,0,1,13,29,1
57651,2025-01-31 04:14:43.536863,0.028,8,4261.707123,0.028,1,0xcaf00370,0,0,57,114,114,1,0,0,6,1,0,30,4,0,1,13,29,1
59343,2025-01-31 04:14:43.586412,49.549,8,4261.756672,49.549,7,0xcaf00370,0,0,57,114,114,2,1,0,13,1,0,0,4,0,0,3,173,0
59344,2025-01-31 04:14:43.586448,0.036000000000000004,8,4261.756708,0.036,1,0xcaf00370,0,0,57,114,114,2,1,0,13,1,0,0,4,0,0,3,173,0
60981,2025-01-31 04:14:43.636608,50.160000000000004,8,4261.806868,50.16,7,0xcaf00370,0,0,57,156,156,3,1,0,6,1,0,30,4,0,1,13,230,1
60982,2025-01-31 04:14:43.636648,0.04,8,4261.806908,0.04,1,0xcaf00370,0,0,57,156,156,3,1,0,6,1,0,30,4,0,1,13,230,1
63007,2025-01-31 04:14:43.696564,59.916,8,4261.866824,59.916,7,0xcaf00370,0,0,57,457,457,0,0,0,6,1,0,30,1,0,1,1,249,3
63008,2025-01-31 04:14:43.696610,0.046,8,4261.86687,0.046,1,0xcaf00370,0,0,57,457,457,0,0,0,6,1,0,30,1,0,1,1,249,3
64564,2025-01-31 04:14:43.746883,50.272999999999996,8,4261.917144,50.274,7,0xcaf00370,0,0,57,457,457,1,1,0,14,1,0,0,1,0,0,1,122,0
64565,2025-01-31 04:14:43.746936,0.053,8,4261.917196,0.052,1,0xcaf00370,0,0,57,457,457,1,1,0,14,1,0,0,1,0,0,1,122,0
66603,2025-01-31 04:14:43.807166,60.23,8,4261.977427,60.231,7,0xcaf00370,0,0,51,7338,7338,2,1,0,6,1,0,30,1,2,1,1,3,3
66605,2025-01-31 04:14:43.807281,0.115,8,4261.977541,0.114,1,0xcaf00370,0,0,51,7338,7338,2,1,0,6,1,0,30,1,2,1,1,3,3
68182,2025-01-31 04:14:43.856234,48.953,8,4262.026494,48.953,7,0xcaf00370,0,0,51,7406,7406,3,1,0,6,1,0,30,1,2,1,1,0,3
68183,2025-01-31 04:14:43.856300,0.066,8,4262.02656,0.066,1,0xcaf00370,0,0,51,7406,7406,3,1,0,6,1,0,30,1,2,1,1,0,3
70243,2025-01-31 04:14:43.916871,60.571,8,4262.087132,60.572,7,0xcaf00370,0,0,51,260,260,0,1,0,6,1,0,30,4,2,1,13,246,1
70254,2025-01-31 04:14:43.917232,0.361,8,4262.087492,0.36,1,0xcaf00370,0,0,51,260,260,0,1,0,6,1,0,30,4,2,1,13,246,1
71952,2025-01-31 04:14:43.968926,51.693999999999996,8,4262.139186,51.694,7,0xcaf00370,0,0,51,288,288,1,1,0,6,1,0,30,4,2,1,13,246,1
