logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
1444,2025-01-31 03:55:42.009971,0.0,8,3119.990081,0.0,1,0xcaf0036a,0,0,31,2384,2384,3,2,1,0,0x4b2df35c,36.13026199999999
3455,2025-01-31 03:55:42.069701,59.73,8,3120.049812,59.731,1,0xcaf0036a,0,0,31,2655,2655,0,1,1,0,0xbe82691a,139.6217626
5094,2025-01-31 03:55:42.119541,49.84,8,3120.099652,49.84,1,0xcaf0036a,0,0,31,2655,2655,1,2,1,0,0x4b2e37ac,36.13201079999999
7127,2025-01-31 03:55:42.179791,60.25,8,3120.159901,60.249,1,0xcaf0036a,0,0,31,3655,11846,2,1,1,0,0xbe811dfd,139.61328609999998
8824,2025-01-31 03:55:42.229593,49.802,8,3120.209703,49.802,1,0xcaf0036a,0,0,31,3655,11846,3,2,1,0,0x4b2f1b17,36.13783269999999
10890,2025-01-31 03:55:42.289605,60.012,8,3120.269716,60.013,1,0xcaf0036a,0,0,31,4157,12348,0,1,1,0,0xbe807702,139.60901139999999
12511,2025-01-31 03:55:42.339657,50.052,8,3120.319768,50.052,1,0xcaf0036a,0,0,31,4157,12348,1,2,1,0,0x4b2f8c9b,36.1407387
14527,2025-01-31 03:55:42.399108,59.45099999999999,8,3120.379218,59.45,1,0xcaf0036a,0,0,31,4262,12453,2,1,1,0,0xbe8055b1,139.6081585
16216,2025-01-31 03:55:42.448810,49.702000000000005,8,3120.42892,49.702,1,0xcaf0036a,0,0,31,4262,12453,3,2,1,0,0x4b2fa58b,36.1413771
18458,2025-01-31 03:55:42.519027,70.217,8,3120.499138,70.218,1,0xcaf0036a,0,0,31,5262,13453,0,1,1,0,0xbe7f33a0,139.6007328
20179,2025-01-31 03:55:42.568410,49.383,8,3120.54852,49.382,1,0xcaf0036a,0,0,31,5262,13453,1,2,1,0,0x4b30aafb,36.148069899999996
22104,2025-01-31 03:55:42.625276,56.866,8,3120.605386,56.866,1,0xcaf0036a,0,0,31,6367,6367,2,1,1,0,0xbe84e052,139.63792179999996
22105,2025-01-31 03:55:42.625276,0.0,8,3120.605386,0.0,1,0xcaf0036a,0,0,31,6367,6367,2,1,1,0,0xbe84e052,139.63792179999996
23572,2025-01-31 03:55:42.668238,42.962,8,3120.648348,42.962,1,0xcaf0036a,0,0,31,6367,6367,3,2,1,0,0x4b28a4fc,36.0954876
25543,2025-01-31 03:55:42.728164,59.926,8,3120.708275,59.927,1,0xcaf0036a,0,0,31,7367,7367,0,1,1,0,0xbe84ec4d,139.63822849999997
27285,2025-01-31 03:55:42.778016,49.852000000000004,8,3120.758127,49.852,1,0xcaf0036a,0,0,31,7367,7367,1,2,1,0,0x4b2a046d,36.1044845
29220,2025-01-31 03:55:42.837947,59.931,8,3120.818057,59.93,1,0xcaf0036a,0,0,31,7394,7394,2,1,1,0,0xbe84eca0,139.63823679999996
30921,2025-01-31 03:55:42.887916,49.969,8,3120.868027,49.97,1,0xcaf0036a,0,0,31,7394,7394,3,2,1,0,0x4b2a0dea,36.10472739999999
32876,2025-01-31 03:55:42.947749,59.833,8,3120.927859,59.832,1,0xcaf0036a,0,0,31,7481,7481,0,1,1,0,0xbe84eaf2,139.6381938
34592,2025-01-31 03:55:42.997602,49.853,8,3120.977712,49.853,1,0xcaf0036a,0,0,31,7481,7481,1,2,1,0,0x4b2a2cb8,36.105515999999994
36617,2025-01-31 03:55:43.057524,59.922000000000004,8,3121.037635,59.923,1,0xcaf0036a,0,0,31,7776,7776,2,1,1,0,0xbe84dc47,139.6378183
38268,2025-01-31 03:55:43.108292,50.768,8,3121.088402,50.767,1,0xcaf0036a,0,0,31,7776,7776,3,2,1,0,0x4b2a939b,36.1081499
40276,2025-01-31 03:55:43.167732,59.44,8,3121.147842,59.44,1,0xcaf0036a,0,0,31,7865,7865,0,1,1,0,0xbe84d5fe,139.63765739999997
41921,2025-01-31 03:55:43.217441,49.709,8,3121.197552,49.71,1,0xcaf0036a,0,0,31,7865,7865,1,2,1,0,0x4b2ab2d4,36.1089492
43985,2025-01-31 03:55:43.277133,59.692,8,3121.257243,59.691,1,0xcaf0036a,0,0,31,674,8865,2,1,1,0,0xbe845652,139.634389
45548,2025-01-31 03:55:43.326959,49.826,8,3121.30707,49.827,1,0xcaf0036a,0,0,31,674,8865,3,2,1,0,0x4b2c0210,36.11753119999999
47617,2025-01-31 03:55:43.387045,60.086,8,3121.367156,60.086,1,0xcaf0036a,0,0,31,1569,9760,0,1,1,0,0xbe83981c,139.62951959999998
49234,2025-01-31 03:55:43.437064,50.019,8,3121.417174,50.018,1,0xcaf0036a,0,0,31,1569,9760,1,2,1,0,0x4b2d13c6,36.12453819999999
51243,2025-01-31 03:55:43.496891,59.827,8,3121.477001,59.827,1,0xcaf0036a,0,0,31,2011,10202,2,1,1,0,0xbe8324dc,139.6265692
53046,2025-01-31 03:55:43.549916,53.025000000000006,8,3121.530026,53.025,1,0xcaf0036a,0,0,31,2011,10202,3,2,1,0,0x4b2d8fd3,36.12771389999999
55247,2025-01-31 03:55:43.616763,66.84700000000001,8,3121.596874,66.848,1,0xcaf0036a,0,0,31,2300,10491,0,1,1,0,0xbe82d322,139.624477
56894,2025-01-31 03:55:43.666387,49.624,8,3121.646498,49.624,1,0xcaf0036a,0,0,31,2300,10491,1,2,1,0,0x4b2ddd26,36.129693399999994
58568,2025-01-31 03:55:43.715978,49.591,8,3121.696089,49.591,1,0xcaf0036a,0,0,31,2384,10575,2,1,1,0,0xbe82bb3f,139.62386549999997
60220,2025-01-31 03:55:43.766112,50.134,8,3121.746222,50.133,1,0xcaf0036a,0,0,31,2384,10575,3,2,1,0,0x4b2df35c,36.13026199999999
62167,2025-01-31 03:55:43.825916,59.804,8,3121.806026,59.804,1,0xcaf0036a,0,0,31,2655,10846,0,1,1,0,0xbe82691a,139.6217626
63850,2025-01-31 03:55:43.875447,49.531,8,3121.855557,49.531,1,0xcaf0036a,0,0,31,2655,10846,1,2,1,0,0x4b2e37ac,36.13201079999999
65724,2025-01-31 03:55:43.935329,59.882,8,3121.91544,59.883,1,0xcaf0036a,0,0,31,3655,11846,2,1,1,0,0xbe811dfd,139.61328609999998
67469,2025-01-31 03:55:43.985113,49.784,8,3121.965223,49.783,1,0xcaf0036a,0,0,31,3655,11846,3,2,1,0,0x4b2f1b17,36.13783269999999
69438,2025-01-31 03:55:44.044997,59.884,8,3122.025107,59.884,1,0xcaf0036a,0,0,31,4157,12348,0,1,1,0,0xbe807702,139.60901139999999
71187,2025-01-31 03:55:44.095118,50.121,8,3122.075228,50.121,1,0xcaf0036a,0,0,31,4157,12348,1,2,1,0,0x4b2f8c9b,36.1407387
73454,2025-01-31 03:55:44.164732,69.61399999999999,8,3122.144843,69.615,1,0xcaf0036a,0,0,31,4262,12453,2,1,1,0,0xbe8055b1,139.6081585
75155,2025-01-31 03:55:44.214462,49.730000000000004,8,3122.194572,49.729,1,0xcaf0036a,0,0,31,4262,12453,3,2,1,0,0x4b2fa58b,36.1413771
77521,2025-01-31 03:55:44.284644,70.18199999999999,8,3122.264754,70.182,1,0xcaf0036a,0,0,31,5262,13453,0,1,1,0,0xbe7f33a0,139.6007328
79099,2025-01-31 03:55:44.334327,49.683,8,3122.314437,49.683,1,0xcaf0036a,0,0,31,5262,13453,1,2,1,0,0x4b30aafb,36.148069899999996
80824,2025-01-31 03:55:44.384128,49.800999999999995,8,3122.364238,49.801,1,0xcaf0036a,0,0,31,6367,6367,2,1,1,0,0xbe84e052,139.63792179999996
82399,2025-01-31 03:55:44.434075,49.946999999999996,8,3122.414185,49.947,1,0xcaf0036a,0,0,31,6367,6367,3,2,1,0,0x4b28a4fc,36.0954876
84100,2025-01-31 03:55:44.483972,49.897,8,3122.464083,49.898,1,0xcaf0036a,0,0,31,7367,7367,0,1,1,0,0xbe84ec4d,139.63822849999997
85656,2025-01-31 03:55:44.534048,50.076,8,3122.514158,50.075,1,0xcaf0036a,0,0,31,7367,7367,1,2,1,0,0x4b2a046d,36.1044845
87801,2025-01-31 03:55:44.594044,59.996,8,3122.574155,59.997,1,0xcaf0036a,0,0,31,7394,7394,2,1,1,0,0xbe84eca0,139.63823679999996
89394,2025-01-31 03:55:44.643725,49.681000000000004,8,3122.623836,49.681,1,0xcaf0036a,0,0,31,7394,7394,3,2,1,0,0x4b2a0dea,36.10472739999999
91754,2025-01-31 03:55:44.714224,70.49900000000001,8,3122.694334,70.498,1,0xcaf0036a,0,0,31,7481,7481,0,1,1,0,0xbe84eaf2,139.6381938
93397,2025-01-31 03:55:44.763715,49.491,8,3122.743825,49.491,1,0xcaf0036a,0,0,31,7481,7481,1,2,1,0,0x4b2a2cb8,36.105515999999994
95030,2025-01-31 03:55:44.814243,50.528000000000006,8,3122.794353,50.528,1,0xcaf0036a,0,0,31,7776,7776,2,1,1,0,0xbe84dc47,139.6378183
96656,2025-01-31 03:55:44.863708,49.465,8,3122.843818,49.465,1,0xcaf0036a,0,0,31,7776,7776,3,2,1,0,0x4b2a939b,36.1081499
98606,2025-01-31 03:55:44.923723,60.015,8,3122.903834,60.016,1,0xcaf0036a,0,0,31,7865,7865,0,1,1,0,0xbe84d5fe,139.63765739999997
100341,2025-01-31 03:55:44.973686,49.963,8,3122.953796,49.962,1,0xcaf0036a,0,0,31,7865,7865,1,2,1,0,0x4b2ab2d4,36.1089492
102235,2025-01-31 03:55:45.033724,60.038000000000004,8,3123.013835,60.039,1,0xcaf0036a,0,0,31,674,8865,2,1,1,0,0xbe845652,139.634389
104007,2025-01-31 03:55:45.083659,49.935,8,3123.06377,49.935,1,0xcaf0036a,0,0,31,674,8865,3,2,1,0,0x4b2c0210,36.11753119999999
105619,2025-01-31 03:55:45.133944,50.285000000000004,8,3123.114055,50.285,1,0xcaf0036a,0,0,31,1569,9760,0,1,1,0,0xbe83981c,139.62951959999998
107329,2025-01-31 03:55:45.183820,49.876,8,3123.163931,49.876,1,0xcaf0036a,0,0,31,1569,9760,1,2,1,0,0x4b2d13c6,36.12453819999999
109385,2025-01-31 03:55:45.243646,59.826,8,3123.223757,59.826,1,0xcaf0036a,0,0,31,2011,10202,2,1,1,0,0xbe8324dc,139.6265692
111071,2025-01-31 03:55:45.293615,49.969,8,3123.273725,49.968,1,0xcaf0036a,0,0,31,2011,10202,3,2,1,0,0x4b2d8fd3,36.12771389999999
113054,2025-01-31 03:55:45.353622,60.007,8,3123.333733,60.008,1,0xcaf0036a,0,0,31,2300,10491,0,1,1,0,0xbe82d322,139.624477
114703,2025-01-31 03:55:45.404411,50.789,8,3123.384522,50.789,1,0xcaf0036a,0,0,31,2300,10491,1,2,1,0,0x4b2ddd26,36.129693399999994
117075,2025-01-31 03:55:45.473527,69.116,8,3123.453638,69.116,1,0xcaf0036a,0,0,31,2384,10575,2,1,1,0,0xbe82bb3f,139.62386549999997
118645,2025-01-31 03:55:45.523503,49.976,8,3123.503613,49.975,1,0xcaf0036a,0,0,31,2384,10575,3,2,1,0,0x4b2df35c,36.13026199999999
120460,2025-01-31 03:55:45.573798,50.295,8,3123.553908,50.295,1,0xcaf0036a,0,0,31,2655,10846,0,1,1,0,0xbe82691a,139.6217626
122094,2025-01-31 03:55:45.623156,49.358,8,3123.603266,49.358,1,0xcaf0036a,0,0,31,2655,10846,1,2,1,0,0x4b2e37ac,36.13201079999999
124121,2025-01-31 03:55:45.683220,60.064,8,3123.66333,60.064,1,0xcaf0036a,0,0,31,3655,11846,2,1,1,0,0xbe811dfd,139.61328609999998
125750,2025-01-31 03:55:45.732938,49.717999999999996,8,3123.713048,49.718,1,0xcaf0036a,0,0,31,3655,11846,3,2,1,0,0x4b2f1b17,36.13783269999999
127449,2025-01-31 03:55:45.783381,50.443000000000005,8,3123.763491,50.443,1,0xcaf0036a,0,0,31,4157,12348,0,1,1,0,0xbe807702,139.60901139999999
129030,2025-01-31 03:55:45.833251,49.87,8,3123.813362,49.871,1,0xcaf0036a,0,0,31,4157,12348,1,2,1,0,0x4b2f8c9b,36.1407387
131664,2025-01-31 03:55:45.912870,79.619,8,3123.89298,79.618,1,0xcaf0036a,0,0,31,4262,12453,2,1,1,0,0xbe8055b1,139.6081585
133300,2025-01-31 03:55:45.962739,49.869,8,3123.942849,49.869,1,0xcaf0036a,0,0,31,4262,12453,3,2,1,0,0x4b2fa58b,36.1413771
134972,2025-01-31 03:55:46.012665,49.925999999999995,8,3123.992775,49.926,1,0xcaf0036a,0,0,31,5262,13453,0,1,1,0,0xbe7f33a0,139.6007328
136665,2025-01-31 03:55:46.062675,50.01,8,3124.042786,50.011,1,0xcaf0036a,0,0,31,5262,13453,1,2,1,0,0x4b30aafb,36.148069899999996
138648,2025-01-31 03:55:46.122471,59.796,8,3124.102581,59.795,1,0xcaf0036a,0,0,31,6367,6367,2,1,1,0,0xbe84e052,139.63792179999996
140363,2025-01-31 03:55:46.172022,49.550999999999995,8,3124.152133,49.552,1,0xcaf0036a,0,0,31,6367,6367,3,2,1,0,0x4b28a4fc,36.0954876
142047,2025-01-31 03:55:46.222219,50.196999999999996,8,3124.20233,50.197,1,0xcaf0036a,0,0,31,7367,7367,0,1,1,0,0xbe84ec4d,139.63822849999997
143726,2025-01-31 03:55:46.272005,49.785999999999994,8,3124.252116,49.786,1,0xcaf0036a,0,0,31,7367,7367,1,2,1,0,0x4b2a046d,36.1044845
145725,2025-01-31 03:55:46.331850,59.845,8,3124.311961,59.845,1,0xcaf0036a,0,0,31,7394,7394,2,1,1,0,0xbe84eca0,139.63823679999996
147487,2025-01-31 03:55:46.382249,50.399,8,3124.362359,50.398,1,0xcaf0036a,0,0,31,7394,7394,3,2,1,0,0x4b2a0dea,36.10472739999999
149394,2025-01-31 03:55:46.441820,59.571,8,3124.421931,59.572,1,0xcaf0036a,0,0,31,7481,7481,0,1,1,0,0xbe84eaf2,139.6381938
151080,2025-01-31 03:55:46.491644,49.824,8,3124.471755,49.824,1,0xcaf0036a,0,0,31,7481,7481,1,2,1,0,0x4b2a2cb8,36.105515999999994
152759,2025-01-31 03:55:46.544034,52.39,8,3124.524144,52.389,1,0xcaf0036a,0,0,31,7776,7776,2,1,1,0,0xbe84dc47,139.6378183
154453,2025-01-31 03:55:46.591835,47.801,8,3124.571945,47.801,1,0xcaf0036a,0,0,31,7776,7776,3,2,1,0,0x4b2a939b,36.1081499
156417,2025-01-31 03:55:46.652183,60.348,8,3124.632293,60.348,1,0xcaf0036a,0,0,31,7865,7865,0,1,1,0,0xbe84d5fe,139.63765739999997
158091,2025-01-31 03:55:46.702158,49.975,8,3124.682268,49.975,1,0xcaf0036a,0,0,31,7865,7865,1,2,1,0,0x4b2ab2d4,36.1089492
160075,2025-01-31 03:55:46.762275,60.117,8,3124.742385,60.117,1,0xcaf0036a,0,0,31,674,8865,2,1,1,0,0xbe845652,139.634389
161725,2025-01-31 03:55:46.812443,50.168,8,3124.792553,50.168,1,0xcaf0036a,0,0,31,674,8865,3,2,1,0,0x4b2c0210,36.11753119999999
163728,2025-01-31 03:55:46.872613,60.17,8,3124.852723,60.17,1,0xcaf0036a,0,0,31,1569,9760,0,1,1,0,0xbe83981c,139.62951959999998
165346,2025-01-31 03:55:46.922611,49.998,8,3124.902722,49.999,1,0xcaf0036a,0,0,31,1569,9760,1,2,1,0,0x4b2d13c6,36.12453819999999
167067,2025-01-31 03:55:46.972954,50.342999999999996,8,3124.953065,50.343,1,0xcaf0036a,0,0,31,2011,10202,2,1,1,0,0xbe8324dc,139.6265692
168672,2025-01-31 03:55:47.022908,49.954,8,3125.003018,49.953,1,0xcaf0036a,0,0,31,2011,10202,3,2,1,0,0x4b2d8fd3,36.12771389999999
171141,2025-01-31 03:55:47.093428,70.52,8,3125.073539,70.521,1,0xcaf0036a,0,0,31,2300,10491,0,1,1,0,0xbe82d322,139.624477
172754,2025-01-31 03:55:47.143177,49.749,8,3125.123288,49.749,1,0xcaf0036a,0,0,31,2300,10491,1,2,1,0,0x4b2ddd26,36.129693399999994
174473,2025-01-31 03:55:47.193702,50.525,8,3125.173813,50.525,1,0xcaf0036a,0,0,31,2384,10575,2,1,1,0,0xbe82bb3f,139.62386549999997
176086,2025-01-31 03:55:47.243520,49.818,8,3125.22363,49.817,1,0xcaf0036a,0,0,31,2384,10575,3,2,1,0,0x4b2df35c,36.13026199999999
178711,2025-01-31 03:55:47.323703,80.183,8,3125.303813,80.183,1,0xcaf0036a,0,0,31,2655,10846,0,1,1,0,0xbe82691a,139.6217626
180456,2025-01-31 03:55:47.374020,50.317,8,3125.35413,50.317,1,0xcaf0036a,0,0,31,2655,10846,1,2,1,0,0x4b2e37ac,36.13201079999999
182026,2025-01-31 03:55:47.423680,49.660000000000004,8,3125.403791,49.661,1,0xcaf0036a,0,0,31,3655,11846,2,1,1,0,0xbe811dfd,139.61328609999998
183758,2025-01-31 03:55:47.474118,50.437999999999995,8,3125.454228,50.437,1,0xcaf0036a,0,0,31,3655,11846,3,2,1,0,0x4b2f1b17,36.13783269999999
185332,2025-01-31 03:55:47.523569,49.451,8,3125.50368,49.452,1,0xcaf0036a,0,0,31,4157,12348,0,1,1,0,0xbe807702,139.60901139999999
187144,2025-01-31 03:55:47.573972,50.403000000000006,8,3125.554082,50.402,1,0xcaf0036a,0,0,31,4157,12348,1,2,1,0,0x4b2f8c9b,36.1407387
189421,2025-01-31 03:55:47.643624,69.652,8,3125.623735,69.653,1,0xcaf0036a,0,0,31,4262,12453,2,1,1,0,0xbe8055b1,139.6081585
191145,2025-01-31 03:55:47.693731,50.107,8,3125.673841,50.106,1,0xcaf0036a,0,0,31,4262,12453,3,2,1,0,0x4b2fa58b,36.1413771
193425,2025-01-31 03:55:47.764075,70.34400000000001,8,3125.744185,70.344,1,0xcaf0036a,0,0,31,5262,13453,0,1,1,0,0xbe7f33a0,139.6007328
195063,2025-01-31 03:55:47.813479,49.404,8,3125.79359,49.405,1,0xcaf0036a,0,0,31,5262,13453,1,2,1,0,0x4b30aafb,36.148069899999996
196719,2025-01-31 03:55:47.863526,50.047000000000004,8,3125.843637,50.047,1,0xcaf0036a,0,0,31,6367,6367,2,1,1,0,0xbe84e052,139.63792179999996
198333,2025-01-31 03:55:47.913091,49.565,8,3125.893201,49.564,1,0xcaf0036a,0,0,31,6367,6367,3,2,1,0,0x4b28a4fc,36.0954876
200384,2025-01-31 03:55:47.973178,60.087,8,3125.953288,60.087,1,0xcaf0036a,0,0,31,7367,7367,0,1,1,0,0xbe84ec4d,139.63822849999997
202000,2025-01-31 03:55:48.022987,49.809,8,3126.003098,49.81,1,0xcaf0036a,0,0,31,7367,7367,1,2,1,0,0x4b2a046d,36.1044845
203785,2025-01-31 03:55:48.073250,50.263000000000005,8,3126.053361,50.263,1,0xcaf0036a,0,0,31,7394,7394,2,1,1,0,0xbe84eca0,139.63823679999996
205405,2025-01-31 03:55:48.123811,50.561,8,3126.103921,50.56,1,0xcaf0036a,0,0,31,7394,7394,3,2,1,0,0x4b2a0dea,36.10472739999999
208779,2025-01-31 03:55:48.223250,99.439,8,3126.20336,99.439,1,0xcaf0036a,0,0,31,7481,7481,0,1,1,0,0xbe84eaf2,139.6381938
210564,2025-01-31 03:55:48.272708,49.458,8,3126.252819,49.459,1,0xcaf0036a,0,0,31,7481,7481,1,2,1,0,0x4b2a2cb8,36.105515999999994
212159,2025-01-31 03:55:48.322651,49.943,8,3126.302761,49.942,1,0xcaf0036a,0,0,31,7776,7776,2,1,1,0,0xbe84dc47,139.6378183
213891,2025-01-31 03:55:48.373217,50.566,8,3126.353327,50.566,1,0xcaf0036a,0,0,31,7776,7776,3,2,1,0,0x4b2a939b,36.1081499
215494,2025-01-31 03:55:48.422613,49.396,8,3126.402723,49.396,1,0xcaf0036a,0,0,31,7865,7865,0,1,1,0,0xbe84d5fe,139.63765739999997
217216,2025-01-31 03:55:48.473051,50.437999999999995,8,3126.453162,50.439,1,0xcaf0036a,0,0,31,7865,7865,1,2,1,0,0x4b2ab2d4,36.1089492
218829,2025-01-31 03:55:48.522583,49.532,8,3126.502693,49.531,1,0xcaf0036a,0,0,31,674,8865,2,1,1,0,0xbe845652,139.634389
220612,2025-01-31 03:55:48.572621,50.038,8,3126.552731,50.038,1,0xcaf0036a,0,0,31,674,8865,3,2,1,0,0x4b2c0210,36.11753119999999
222266,2025-01-31 03:55:48.622366,49.745,8,3126.602477,49.746,1,0xcaf0036a,0,0,31,1569,9760,0,1,1,0,0xbe83981c,139.62951959999998
223989,2025-01-31 03:55:48.672766,50.4,8,3126.652877,50.4,1,0xcaf0036a,0,0,31,1569,9760,1,2,1,0,0x4b2d13c6,36.12453819999999
225979,2025-01-31 03:55:48.732610,59.844,8,3126.71272,59.843,1,0xcaf0036a,0,0,31,2011,10202,2,1,1,0,0xbe8324dc,139.6265692
227684,2025-01-31 03:55:48.782632,50.022,8,3126.762742,50.022,1,0xcaf0036a,0,0,31,2011,10202,3,2,1,0,0x4b2d8fd3,36.12771389999999
229643,2025-01-31 03:55:48.842379,59.747,8,3126.822489,59.747,1,0xcaf0036a,0,0,31,2300,10491,0,1,1,0,0xbe82d322,139.624477
231314,2025-01-31 03:55:48.892064,49.685,8,3126.872175,49.686,1,0xcaf0036a,0,0,31,2300,10491,1,2,1,0,0x4b2ddd26,36.129693399999994
233309,2025-01-31 03:55:48.952021,59.957,8,3126.932131,59.956,1,0xcaf0036a,0,0,31,2384,10575,2,1,1,0,0xbe82bb3f,139.62386549999997
235017,2025-01-31 03:55:49.002206,50.185,8,3126.982316,50.185,1,0xcaf0036a,0,0,31,2384,10575,3,2,1,0,0x4b2df35c,36.13026199999999
237000,2025-01-31 03:55:49.061913,59.707,8,3127.042023,59.707,1,0xcaf0036a,0,0,31,2655,10846,0,1,1,0,0xbe82691a,139.6217626
238691,2025-01-31 03:55:49.111762,49.849,8,3127.091873,49.85,1,0xcaf0036a,0,0,31,2655,10846,1,2,1,0,0x4b2e37ac,36.13201079999999
240725,2025-01-31 03:55:49.171748,59.986,8,3127.151858,59.985,1,0xcaf0036a,0,0,31,3655,11846,2,1,1,0,0xbe811dfd,139.61328609999998
242401,2025-01-31 03:55:49.221953,50.205,8,3127.202063,50.205,1,0xcaf0036a,0,0,31,3655,11846,3,2,1,0,0x4b2f1b17,36.13783269999999
244455,2025-01-31 03:55:49.281909,59.956,8,3127.26202,59.957,1,0xcaf0036a,0,0,31,4157,12348,0,1,1,0,0xbe807702,139.60901139999999
246072,2025-01-31 03:55:49.331618,49.709,8,3127.311728,49.708,1,0xcaf0036a,0,0,31,4157,12348,1,2,1,0,0x4b2f8c9b,36.1407387
248449,2025-01-31 03:55:49.402200,70.58200000000001,8,3127.38231,70.582,1,0xcaf0036a,0,0,31,4262,12453,2,1,1,0,0xbe8055b1,139.6081585
250067,2025-01-31 03:55:49.451550,49.35,8,3127.43166,49.35,1,0xcaf0036a,0,0,31,4262,12453,3,2,1,0,0x4b2fa58b,36.1413771
251736,2025-01-31 03:55:49.502656,51.106,8,3127.482766,51.106,1,0xcaf0036a,0,0,31,5262,13453,0,1,1,0,0xbe7f33a0,139.6007328
253400,2025-01-31 03:55:49.551934,49.278000000000006,8,3127.532044,49.278,1,0xcaf0036a,0,0,31,5262,13453,1,2,1,0,0x4b30aafb,36.148069899999996
255431,2025-01-31 03:55:49.612137,60.203,8,3127.592248,60.204,1,0xcaf0036a,0,0,31,6367,6367,2,1,1,0,0xbe84e052,139.63792179999996
257055,2025-01-31 03:55:49.661951,49.814,8,3127.642061,49.813,1,0xcaf0036a,0,0,31,6367,6367,3,2,1,0,0x4b28a4fc,36.0954876
259066,2025-01-31 03:55:49.722162,60.211,8,3127.702273,60.212,1,0xcaf0036a,0,0,31,7367,7367,0,1,1,0,0xbe84ec4d,139.63822849999997
260772,2025-01-31 03:55:49.772205,50.043,8,3127.752316,50.043,1,0xcaf0036a,0,0,31,7367,7367,1,2,1,0,0x4b2a046d,36.1044845
262684,2025-01-31 03:55:49.832377,60.172000000000004,8,3127.812488,60.172,1,0xcaf0036a,0,0,31,7394,7394,2,1,1,0,0xbe84eca0,139.63823679999996
264386,2025-01-31 03:55:49.882452,50.075,8,3127.862562,50.074,1,0xcaf0036a,0,0,31,7394,7394,3,2,1,0,0x4b2a0dea,36.10472739999999
266313,2025-01-31 03:55:49.942710,60.257999999999996,8,3127.922821,60.259,1,0xcaf0036a,0,0,31,7481,7481,0,1,1,0,0xbe84eaf2,139.6381938
267999,2025-01-31 03:55:49.992818,50.108,8,3127.972929,50.108,1,0xcaf0036a,0,0,31,7481,7481,1,2,1,0,0x4b2a2cb8,36.105515999999994
269998,2025-01-31 03:55:50.052962,60.144000000000005,8,3128.033072,60.143,1,0xcaf0036a,0,0,31,7776,7776,2,1,1,0,0xbe84dc47,139.6378183
