logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Last Stub at Offset,Rerouting Flag,Sub-path Index,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Turn angle,Number of Lanes in driving direction
1285,2025-01-31 03:55:42.004747,0.0,8,3119.984858,0.0,7,0xcaf00370,0,0,31,7865,7865,2,1,0,6,1,0,30,1,2,1,1,253,3
1472,2025-01-31 03:55:42.010666,5.919,8,3119.990777,5.919,1,0xcaf00370,0,0,31,7865,7865,2,1,0,6,1,0,30,1,2,1,1,253,3
3306,2025-01-31 03:55:42.064831,54.165,8,3120.044942,54.165,7,0xcaf00370,0,0,31,1569,1569,3,0,0,6,1,0,25,1,2,1,1,253,3
3490,2025-01-31 03:55:42.070433,5.602,8,3120.050544,5.602,1,0xcaf00370,0,0,31,1569,1569,3,0,0,6,1,0,25,1,2,1,1,253,3
4995,2025-01-31 03:55:42.114963,44.53,8,3120.095073,44.529,7,0xcaf00370,0,0,31,1569,1569,0,1,0,38,1,0,5,2,0,1,9,250,1
5135,2025-01-31 03:55:42.120430,5.467,8,3120.100541,5.468,1,0xcaf00370,0,0,31,1569,1569,0,1,0,38,1,0,5,2,0,1,9,250,1
6988,2025-01-31 03:55:42.174823,54.392999999999994,8,3120.154933,54.392,7,0xcaf00370,0,0,31,2011,2011,1,0,0,6,1,0,30,1,2,1,1,0,3
7145,2025-01-31 03:55:42.180129,5.306,8,3120.16024,5.307,1,0xcaf00370,0,0,31,2011,10202,1,0,0,6,1,0,30,1,2,1,1,0,3
8644,2025-01-31 03:55:42.224565,44.436,8,3120.204676,44.436,7,0xcaf00370,0,0,31,2011,10202,2,1,0,39,1,0,0,2,0,0,10,131,0
8831,2025-01-31 03:55:42.229811,5.2459999999999996,8,3120.209922,5.246,1,0xcaf00370,0,0,31,2011,10202,2,1,0,39,1,0,0,2,0,0,10,131,0
10748,2025-01-31 03:55:42.285057,55.246,8,3120.265167,55.245,7,0xcaf00370,0,0,31,2300,10491,3,1,0,6,1,0,30,1,2,1,1,0,3
10909,2025-01-31 03:55:42.290067,5.01,8,3120.270177,5.01,1,0xcaf00370,0,0,31,2300,10491,3,1,0,6,1,0,30,1,2,1,1,0,3
12362,2025-01-31 03:55:42.335392,45.324999999999996,8,3120.315502,45.325,7,0xcaf00370,0,0,31,2384,10575,0,1,0,6,1,0,30,1,2,1,1,252,3
12543,2025-01-31 03:55:42.340265,4.872999999999999,8,3120.320376,4.874,1,0xcaf00370,0,0,31,2384,10575,0,1,0,6,1,0,30,1,2,1,1,252,3
14414,2025-01-31 03:55:42.394900,54.635000000000005,8,3120.37501,54.634,7,0xcaf00370,0,0,31,2655,10846,1,1,0,6,1,0,30,1,2,1,1,0,3
14542,2025-01-31 03:55:42.399789,4.889,8,3120.3799,4.89,1,0xcaf00370,0,0,31,2655,10846,1,1,0,6,1,0,30,1,2,1,1,0,3
16061,2025-01-31 03:55:42.445199,45.41,8,3120.425309,45.409,7,0xcaf00370,0,0,31,4157,12348,2,1,0,6,1,0,30,1,2,1,1,1,3
16257,2025-01-31 03:55:42.449810,4.611,8,3120.429921,4.612,1,0xcaf00370,0,0,31,4157,12348,2,1,0,6,1,0,30,1,2,1,1,1,3
18365,2025-01-31 03:55:42.514917,65.107,8,3120.495027,65.106,7,0xcaf00370,0,0,31,4262,12453,3,1,0,6,1,0,30,1,2,1,1,0,3
18466,2025-01-31 03:55:42.519495,4.577999999999999,8,3120.499605,4.578,1,0xcaf00370,0,0,31,4262,12453,3,1,0,6,1,0,30,1,2,1,1,0,3
22011,2025-01-31 03:55:42.622175,102.67999999999999,8,3120.602286,102.681,7,0xcaf00370,0,0,31,7394,7394,0,1,0,6,1,0,30,1,2,1,1,0,3
22156,2025-01-31 03:55:42.626712,4.537,8,3120.606822,4.536,1,0xcaf00370,0,0,31,7394,7394,0,1,0,6,1,0,30,1,2,1,1,0,3
23469,2025-01-31 03:55:42.664811,38.099000000000004,8,3120.644921,38.099,7,0xcaf00370,0,0,31,7481,7481,1,1,0,6,1,0,30,1,2,1,1,253,3
23606,2025-01-31 03:55:42.669108,4.297,8,3120.649218,4.297,1,0xcaf00370,0,0,31,7481,7481,1,1,0,6,1,0,30,1,2,1,1,253,3
25420,2025-01-31 03:55:42.724632,55.523999999999994,8,3120.704743,55.525,7,0xcaf00370,0,0,31,7776,7776,2,1,0,6,1,0,30,1,2,1,1,253,3
25575,2025-01-31 03:55:42.729122,4.49,8,3120.709232,4.489,1,0xcaf00370,0,0,31,7776,7776,2,1,0,6,1,0,30,1,2,1,1,253,3
27163,2025-01-31 03:55:42.774812,45.690000000000005,8,3120.754922,45.69,7,0xcaf00370,0,0,31,7865,7865,3,1,0,6,1,0,30,1,2,1,1,253,3
27317,2025-01-31 03:55:42.779194,4.382,8,3120.759305,4.383,1,0xcaf00370,0,0,31,7865,7865,3,1,0,6,1,0,30,1,2,1,1,253,3
29104,2025-01-31 03:55:42.834976,55.782,8,3120.815087,55.782,7,0xcaf00370,0,0,31,1569,9760,0,0,0,6,1,0,25,1,2,1,1,253,3
29245,2025-01-31 03:55:42.838775,3.799,8,3120.818886,3.799,1,0xcaf00370,0,0,31,1569,9760,0,0,0,6,1,0,25,1,2,1,1,253,3
30826,2025-01-31 03:55:42.884928,46.153,8,3120.865038,46.152,7,0xcaf00370,0,0,31,1569,9760,1,1,0,38,1,0,5,2,0,1,9,250,1
30957,2025-01-31 03:55:42.888693,3.765,8,3120.868803,3.765,1,0xcaf00370,0,0,31,1569,9760,1,1,0,38,1,0,5,2,0,1,9,250,1
32771,2025-01-31 03:55:42.945184,56.491,8,3120.925294,56.491,7,0xcaf00370,0,0,31,2011,10202,2,0,0,6,1,0,30,1,2,1,1,0,3
32933,2025-01-31 03:55:42.948695,3.5109999999999997,8,3120.928805,3.511,1,0xcaf00370,0,0,31,2011,10202,2,0,0,6,1,0,30,1,2,1,1,0,3
34481,2025-01-31 03:55:42.994838,46.143,8,3120.974948,46.143,7,0xcaf00370,0,0,31,2011,10202,3,1,0,39,1,0,0,2,0,0,10,131,0
34609,2025-01-31 03:55:42.998296,3.458,8,3120.978406,3.458,1,0xcaf00370,0,0,31,2011,10202,3,1,0,39,1,0,0,2,0,0,10,131,0
