logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Position Index,Position Probablility,Position Age,Position Confidence,Speed,Relative Heading
8236,2025-01-31 01:51:06.917315,0.0,8,0.401469,0.0,1,0xcaf0054c,0,0,2,8191,8191,1,0,0,37,0,64,156
14822,2025-01-31 01:51:07.456456,539.141,8,0.940609,539.14,1,0xcaf0054c,0,0,2,8191,8191,2,0,0,144,0,64,156
20321,2025-01-31 01:51:08.004756,548.3,8,1.488909,548.3,7,0xcaf0054c,0,0,2,8191,8191,3,0,0,72,0,64,156
30020,2025-01-31 01:51:08.327713,322.957,8,1.811867,322.958,1,0xcaf0054c,0,0,2,8191,8191,3,0,0,72,0,64,156
36814,2025-01-31 01:51:08.554740,227.02700000000002,8,2.038893,227.026,7,0xcaf0054c,0,0,2,8191,8191,0,0,0,183,0,64,156
53362,2025-01-31 01:51:09.104827,550.087,8,2.588981,550.088,7,0xcaf0054c,0,0,2,8191,8191,1,0,0,114,0,64,156
61510,2025-01-31 01:51:09.367330,262.503,8,2.851483,262.502,1,0xcaf0054c,0,0,2,8191,8191,0,0,0,183,0,64,156
70502,2025-01-31 01:51:09.597834,230.504,8,3.081987,230.504,1,0xcaf0054c,0,0,2,8191,8191,1,0,0,114,0,64,156
73895,2025-01-31 01:51:09.665516,67.682,8,3.14967,67.683,7,0xcaf0054c,0,0,2,8191,8191,2,0,0,46,0,64,156
75059,2025-01-31 01:51:09.694934,29.418,8,3.179088,29.418,1,0xcaf0054c,0,0,2,8191,8191,2,0,0,46,0,64,156
92488,2025-01-31 01:51:10.205415,510.48099999999994,8,3.689568,510.48,7,0xcaf0054c,0,0,2,8191,8191,3,0,0,155,0,64,156
93831,2025-01-31 01:51:10.247717,42.302,8,3.731871,42.303,1,0xcaf0054c,0,0,2,8191,8191,3,0,0,155,0,64,156
110877,2025-01-31 01:51:10.765749,518.032,8,4.249903,518.032,7,0xcaf0054c,0,0,2,8191,8191,0,0,0,85,0,64,156
112363,2025-01-31 01:51:10.812361,46.612,8,4.296514,46.611,1,0xcaf0054c,0,0,2,8191,8191,0,0,0,85,0,64,156
128396,2025-01-31 01:51:11.296154,483.79299999999995,8,4.780307,483.793,7,0xcaf0054c,0,0,2,8191,8191,1,0,0,12,0,64,156
128782,2025-01-31 01:51:11.309791,13.637,8,4.793944,13.637,1,0xcaf0054c,0,0,2,8191,8191,1,0,0,12,0,64,156
146077,2025-01-31 01:51:11.836843,527.052,8,5.320996,527.052,1,0xcaf0054c,0,0,2,8191,8191,2,0,0,122,0,64,156
146418,2025-01-31 01:51:11.848625,11.782,8,5.332778,11.782,7,0xcaf0054c,0,0,2,8191,8191,2,0,0,122,0,64,156
163530,2025-01-31 01:51:12.371330,522.7049999999999,8,5.855483,522.705,1,0xcaf0054c,0,0,2,8191,8191,3,0,0,52,0,64,156
164391,2025-01-31 01:51:12.395328,23.997999999999998,8,5.879481,23.998,7,0xcaf0054c,0,0,2,8191,8191,3,0,0,52,0,64,156
181468,2025-01-31 01:51:12.922383,527.0550000000001,8,6.406536,527.055,1,0xcaf0054c,0,0,2,8191,8191,0,0,0,164,0,64,156
182603,2025-01-31 01:51:12.955709,33.326,8,6.439863,33.327,7,0xcaf0054c,0,0,2,8191,8191,0,0,0,164,0,64,156
199389,2025-01-31 01:51:13.467141,511.432,8,6.951294,511.431,1,0xcaf0054c,0,0,2,8191,8191,1,0,0,93,0,64,156
200648,2025-01-31 01:51:13.505430,38.288999999999994,8,6.989584,38.29,7,0xcaf0054c,0,0,2,8191,8191,1,0,0,93,0,64,156
217654,2025-01-31 01:51:14.024268,518.838,8,7.508421,518.837,1,0xcaf0054c,0,0,2,8191,8191,2,0,0,26,0,64,156
218980,2025-01-31 01:51:14.065380,41.112,8,7.549534,41.113,7,0xcaf0054c,0,0,2,8191,8191,2,0,0,26,0,64,156
235464,2025-01-31 01:51:14.572259,506.87899999999996,8,8.056412,506.878,1,0xcaf0054c,0,0,2,8191,8191,3,0,0,134,0,64,156
236902,2025-01-31 01:51:14.615167,42.908,8,8.099321,42.909,7,0xcaf0054c,0,0,2,8191,8191,3,0,0,134,0,64,156
253154,2025-01-31 01:51:15.111758,496.591,8,8.595911,496.59,1,0xcaf0054c,0,0,2,8191,8191,0,0,0,63,0,64,156
254593,2025-01-31 01:51:15.155218,43.46,8,8.639372,43.461,7,0xcaf0054c,0,0,2,8191,8191,0,0,0,63,0,64,156
